genes	protein	compartment	reactions	uniprot
ADCY10	protein_ADCY10	c	ADNCYC	Q96PN6
ADCY2	protein_ADCY2	c	ADNCYC	Q08462
ADH5	protein_ADH5	c	ALCD2x;FAWOXx_10_10OH;FAWOXx_10_10OXO;FAWOXx_12_12OH;FAWOXx_12_12OXO;FAWOXx_14_14OH;FAWOXx_14_14OXO;FAWOXx_16_016OH;FAWOXx_16_016OXO;FAWOXx_20_5Z8Z11Z14Z20OH;FAWOXx_20_5Z8Z11Z14Z20OXO;FAWOXx_22_22OH;FAWOXx_22_22OXO;GTHNORDx;HMGTHDH;LALDO;LCARR;LCARS	P11766
ADI1	protein_ADI1	c	ARDFE2;ARDNI2	Q9BV57
ADK	protein_ADK	c	4PYRNK;ADNK1;AICAK;DADNK1;NRHK;RBVK	P55263
ADO	protein_ADO	c	CYSAMO	Q96SZ5
ADPGK	protein_ADPGK	c	ADPGK;ADPGKa	Q9BRR6
ADPRS	protein_ADPRS	c	ADPRDACAC1;NADN2;POLYADPRH;PROTSADPRH	Q9NX46
ADSL	protein_ADSL	c	ADSL1;ADSL2	P30566
ADSS2	protein_ADSS2	c	ADSS	P30520
AFMID	protein_AFMID	c	FKYNH	Q63HM1
AGL	protein_AGL	c	AMGLSDASEa;GLDBRAN	P35573
AGPAT1	protein_AGPAT1	c	LPAAT	Q99943
AGPAT3	protein_AGPAT3	c	LPAAT;LPCAT;LPIAT;LPSAT	Q9NRZ7
AGPAT4	protein_AGPAT4	c	LPAAT	Q9NRZ5
AGT	protein_AGT	c	ANGIO1THOP;ANGIO2ASPH;ANGIO2DDP;ANGIO3ARGH;ANGIO4DDP;ANGIO58PEP	P01019
AHCY	protein_AHCY	c	AHC;SEAHCYSHYD	P23526
AK1	protein_AK1	c	ADK1;ADK3;ADK4;ADK5;ADK6;ADK7;DADK1;DADK3;DADK4;DADK5;DADK6;DADK7;NDPK1;NDPK2;NDPK3	P00568
AKR1A1	protein_AKR1A1	c	3DGRy;ALCD19y;ALR2y;ALR3y;ARABR_Ly;GALOR;GHBDHy;GTHNORDy;GULND;PPDOy;SBTRa;SNOCOARD	P14550
AKR1B1	protein_AKR1B1	c	3DGRy;6HOPTHPDH;6PTHPDH;ALCD19y;ALR2y;ALR3y;ARABR_Ly;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;GALOR;LALD_Ly;PGH2Ry;PPDOy;SBTRa;XYLR_Dy	P15121
AKR1C3	protein_AKR1C3	c	5ADHTRy;6PTHPDH2;ANDRSTNDNRy;ANDRSTRNRy;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;ESTRONEDHy;PGD2Ry;PGH2Ry;PRGSTRNRy;RDH2y	P42330
AKR7A2	protein_AKR7A2	c	ALR2y;ALR3y;ARABR_Ly;ESTRADIOL23Q2ERy;ESTRADIOL34Q2ERy;ESTRONE23Q2ERy;ESTRONE34Q2ERy;GHBDHy;PPDOy;SBTRa	O43488
ALAD	protein_ALAD	c	PPBNGS	P13716
ALDH1A1	protein_ALDH1A1	c	3DGDH;4H2HXEAL2EDHx;4H2NNEAL2EDHx;ABUTDx;ALDD2x;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MALDHx;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;RADH1x;RADH2x;RADH3x;RADH4x	P00352
ALDH3A1	protein_ALDH3A1	c	34DHALDDx;34DHALDDy;34DHXMANDACOXx;34DHXMANDACOXy;3M4HDXPACx;3M4HDXPACy;4H2HXEAL2EDHx;4H2NNEAL2EDHx;4HOXPACDORx;4HOXPACDORy;ALDD19x;ALDD19y;ALDD2x;ALDD2y;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;MACOXO;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx	P30838
ALDH3A2	protein_ALDH3A2	c	5HOXINDACTOX;ABUTDx;ALDD2x;BAMPPALDOXx;FRNSL2E6EDH;GLACOx;GLYALDD;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;HXEAL2EDHx;IMACTD;MACOXO;MMALNDHx;NABTNO;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;TMABADH	P51648
ALDH3B1	protein_ALDH3B1	c	34DHALDDx;34DHALDDy;34DHXMANDACOXx;34DHXMANDACOXy;3M4HDXPACx;3M4HDXPACy;4H2HXEAL2EDHx;4H2NNEAL2EDHx;4HOXPACDORx;4HOXPACDORy;ALDD19x;ALDD19y;ALDD2x;ALDD2y;BAMPPALDOXx;BZALDHx;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXDCAL2EDHx;HXDCAL2EDHy;HXDCALDHx;HXDCALDHy;HXEAL2EDHx;LCAD;MACOXO;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;RBTDG_Dx	P43353
ALDH9A1	protein_ALDH9A1	c	5HOXINDACTOX;ABUTDx;ALDD20x;ALDD2x;BAMPPALDOXx;BETALDDHx;BZALDHx;GLACOx;GLYALDD;HPTALDHx;HPTEAL2EDHx;HXALDHx;HXEAL2EDHx;IMACTD;MMALNDHx;NABTNO;NONALDHx;NONEAL2EDHx;OCTALDHx;OCTEAL2EDHx;PPALDHx;TMABADH	P49189
ALDOA	protein_ALDOA	c	FBA;FBA2;FBA3;FBA6	P04075
ALDOB	protein_ALDOB	c	FBA;FBA2;FBA3;FBA6	P05062
ALDOC	protein_ALDOC	c	FBA;FBA2;FBA3;FBA6	P09972
ALPL	protein_ALPL	c	AHDTPPPH;ALKP;CRTNP;THMMPP	P05186
ALPL	protein_ALPL	pm	CRTNPe;ETHPe;NDPADPe;NTDAMPe;NTPAe;PPAe;PYDXPPe;THMMPPe	P05186
AMDHD2	protein_AMDHD2	c	AGDC	Q9Y303
AMPD3	protein_AMPD3	c	AMPDA	Q01432
ANKH	protein_ANKH	pm	ATPte;CITt	Q9HCJ1
ANO6	protein_ANO6	pm	LPCSCRt;PCSCRt;PSSCRt	Q4KMQ2
ANPEP	protein_ANPEP	c	ANGIO3ARGH	P15144
APEH	protein_APEH	c	ACMAH	P13798
APIP	protein_APIP	c	MDRPD	Q96GX9
APRT	protein_APRT	c	ADPT;AICRT	P07741
AQP1	protein_AQP1	pm	CO2t;H2Ot;NH3t;NH4t;NOt;O2St;O2t	P29972
AQP3	protein_AQP3	pm	ARSNIt;GLYCt;H2Ot;NH3t;NH4t	Q92482
ARF1	protein_ARF1	c	NTPG	P84077
ARF6	protein_ARF6	c	NTPG	P62330
ARG1	protein_ARG1	c	ARGN	P05089
ARMT1	protein_ARMT1	c	E4PP;F1PP;F6PP;GAPP;PROTGMT;R5PP	Q9H993
ART4	protein_ART4	pm	PROTRADPRTe	Q93070
ASL	protein_ASL	c	ARGSL	P04424
ATG14	protein_ATG14	c	PI3K	Q6ZNE5
ATIC	protein_ATIC	c	AICART;IMPC	P31939
ATP11A	protein_ATP11A	pm	PEFLIPt;PSFLIPt	P98196
ATP11B	protein_ATP11B	pm	PEFLIPt;PSFLIPt	Q9Y2G3
ATP11C	protein_ATP11C	pm	PEFLIPt;PSFLIPt	Q8NB49
ATP1A1	protein_ATP1A1	pm	NaKt	P05023
ATP1A3	protein_ATP1A3	pm	NaKt	P13637
ATP1A4	protein_ATP1A4	pm	NaKt	Q13733
ATP1B1	protein_ATP1B1	pm	NaKt	P05026
ATP1B2	protein_ATP1B2	pm	NaKt	P14415
ATP1B3	protein_ATP1B3	pm	NaKt	P54709
ATP2B1	protein_ATP2B1	pm	CAATPS1	P20020
ATP2B4	protein_ATP2B4	pm	CAATPS1	P23634
ATP6AP1	protein_ATP6AP1	pm	VATPASEte	Q15904
ATP6AP2	protein_ATP6AP2	pm	VATPASEte	O75787
ATP6V0A1	protein_ATP6V0A1	pm	VATPASEte	Q93050
ATP6V0B	protein_ATP6V0B	pm	VATPASEte	Q99437
ATP6V0C	protein_ATP6V0C	pm	VATPASEte	P27449
ATP6V0D1	protein_ATP6V0D1	pm	VATPASEte	P61421
ATP6V0E1	protein_ATP6V0E1	pm	VATPASEte	O15342
ATP6V1A	protein_ATP6V1A	pm	VATPASEte	P38606
ATP6V1B2	protein_ATP6V1B2	pm	VATPASEte	P21281
ATP6V1C1	protein_ATP6V1C1	pm	VATPASEte	P21283
ATP6V1D	protein_ATP6V1D	pm	VATPASEte	Q9Y5K8
ATP6V1E1	protein_ATP6V1E1	pm	VATPASEte	P36543
ATP6V1F	protein_ATP6V1F	pm	VATPASEte	Q16864
ATP6V1G1	protein_ATP6V1G1	pm	VATPASEte	O75348
ATP6V1H	protein_ATP6V1H	pm	VATPASEte	Q9UI12
ATP7A	protein_ATP7A	pm	CU1ABCte	Q04656
ATP7B	protein_ATP7B	pm	CU1ABCte	P35670
B3GALNT1	protein_B3GALNT1	c	B3GALNT1c	O75752
BECN1	protein_BECN1	c	PI3K	Q14457
BHMT	protein_BHMT	c	BHMT	Q93088
BLVRA	protein_BLVRA	c	BILIREDx;BILIREDy	P53004
BLVRB	protein_BLVRB	c	BILIREDx;BILIREDy;FADRy;FLVRy;FMNRy;PROTCSNOCOANT	P30043
BMP2K	protein_BMP2K	c	PROTSK;PROTTK	Q9NSY1
BPGM	protein_BPGM	c	DPGM;DPGase;PGM	P07738
BPNT1	protein_BPNT1	c	BPNT;BPNT2;MI14P1PP	O95861
BSG	protein_BSG	pm	2HB_5OXPROtex;2HB_ACACtex;2HB_ACtex;2HB_BUTtex;2HB_DLACtex;2HB_GLYCLTtex;2HB_PPAtex;2HBt2;2OBUT_2HBtex;2OBUT_5OXPROtex;2OBUT_ACACtex;2OBUT_ACtex;2OBUT_BUTtex;2OBUT_DLACtex;2OBUT_GLYCLTtex;2OBUT_LLACtex;2OBUT_PPAtex;2OBUTt;3MOBt2;4MOPt2;5OXPRO_ACACtex;5OXPRO_ACtex;5OXPRO_BUTtex;5OXPRO_DLACtex;5OXPRO_GLYCLTtex;5OXPRO_PPAtex;5OXPROt2;ACAC_ACtex;ACAC_GLYCLTtex;ACACt2;AC_GLYCLTtex;ACt2;BUT_ACACtex;BUT_ACtex;BUT_GLYCLTtex;BUT_PPAtex;BUTt2r;DLAC_ACACtex;DLAC_ACtex;DLAC_BUTtex;DLAC_GLYCLTtex;DLAC_PPAtex;D_LACt2;GLYCLTt2;H2SUCCt;LLAC_2HBtex;LLAC_5OXPROtex;LLAC_ACACtex;LLAC_ACtex;LLAC_BUTtex;LLAC_DLACtex;LLAC_GLYCLTtex;LLAC_PPAtex;L_LACt2;PPA_ACACtex;PPA_ACtex;PPA_GLYCLTtex;PPAt2r;PYR_2HBtex;PYR_2OBUTtex;PYR_5OXPROtex;PYR_ACACtex;PYR_ACtex;PYR_BUTtex;PYR_DLACtex;PYR_GLYCLTtex;PYR_LLACtex;PYR_PPAtex;PYRt2	P35613
C1GALT1	protein_C1GALT1	c	PROTKTnAgGALT;PROTSTnAgGALT	Q9NS00
C1GALT1C1	protein_C1GALT1C1	c	PROTKTnAgGALT;PROTSTnAgGALT	Q96EU7
CA1	protein_CA1	c	HCO3E;UREAHYDL	P00915
CA2	protein_CA2	c	HCO3E;UREAHYDL	P00918
CA3	protein_CA3	c	HCO3E;UREAHYDL	P07451
CA4	protein_CA4	pm	HCO3Ee	P22748
CAB39	protein_CAB39	c	PROTSK;PROTTK	Q9Y376
CAB39L	protein_CAB39L	c	PROTSK;PROTTK	Q9H9S4
CACNA1A	protein_CACNA1A	pm	CA2t	O00555
CAD	protein_CAD	c	ASPCT;DHORTS	P27708
CAND1	protein_CAND1	c	NEDD8E2CONJT	Q86VP6
CARM1	protein_CARM1	c	PRMTMMA;PRMTSDMA	Q86X55
CARS1	protein_CARS1	c	CYSTRS	P49589
CAT	protein_CAT	c	56DHIPX;ADRNLPX_L;CAT;DOPAPX_L;DPAMPX_L;LADRNCHRPX;LDPAMCHRPX;LDPCHRPX_L;LNRPPHRCHRPX;MEOHP;NRPPHRPX_L	P04040
CBR1	protein_CBR1	c	6PTHPDH;ADRNCHR2ERy;ADRNLQ2ERy_L;CRTSLRy;CRTSTRNRy;DOPAQ2ERy_L;DPAMCHR2ERy;DPAMQ2ERy_L;DPCHR2ERy_L;GTHNORDy;IND56Q2ERy;MNDN2ERy;NRPPHRCHR2ERy;NRPPHRQ2ERy_L;PGE1DHy;PGE1Ry;PGE2DHy;PGE2Ry;PGE3DHy;PGE3Ry;PGF1DHy;PGF2DHy;PGF3DHy;SPPTDH	P16152
CBR3	protein_CBR3	c	ADRNCHR2ERy;ADRNLQ2ERy_L;DOPAQ2ERy_L;DPAMCHR2ERy;DPAMQ2ERy_L;DPCHR2ERy_L;IND56Q2ERy;NRPPHRCHR2ERy;NRPPHRQ2ERy_L	O75828
