genes	name	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
PRDX2	PRDX2	P32119	7001	PRDX2	25	pubmed:12362340;pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10873855;pubmed:17105810;pubmed:19061854;pubmed:22160369;pubmed:8554614	
RAB5C	RAB5C	P51148	5878	RAB5C	25	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
VCP	TERA	P55072	7415	VCP	25	pubmed:12362340;pubmed:14963112;pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591		
BLVRA	BIEA	P53004	644	BLVRA	24	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22157974;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10858451	
HBA	HBA	P69905	3039;3040	HBA1;HBA2	24	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:11747442;pubmed:15449937;pubmed:20925047;pubmed:24100324;pubmed:6171809;pubmed:6539334;pubmed:9665850	
PRDX6	PRDX6	P30041	9588	PRDX6	24	pubmed:14963112;pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:35705035;pubmed:8313871	
RAP2B	RAP2B	P61225	5912	RAP2B	24	pubmed:12362340;pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:16540189	
TGM2	TGM2	P21980	7052	TGM2	24	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:23166;pubmed:2900016;pubmed:35108516	
AHCY	SAHH	P23526	191	AHCY	23	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:3728156	
ALDOA	ALDOA	P04075	226	ALDOA	23	pubmed:12362340;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:889843	
ATP2B4	AT2B4	P23634	493	ATP2B4	23	pubmed:14963112;pubmed:16861337;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:23219802	
CA2	CAH2	P00918	760	CA2	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10090333;pubmed:4958988;pubmed:4975695	
CDC42	CDC42	P60953	998	CDC42	23	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:32678227	
GCLC	GSH1	P48506	2729	GCLC	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4388010	
GMPR	GMPR1	P36959	2766	GMPR	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:12009299;pubmed:218932;pubmed:4149840	
GSS	GSHB	P48637	2937	GSS	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:24639;pubmed:4388010	
GSTO1	GSTO1	P78417	9446	GSTO1	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10783391;pubmed:8660320	
HBB	HBB	P68871	3043	HBB	23	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:11747442;pubmed:15449937;pubmed:20925047;pubmed:24100324;pubmed:6171809;pubmed:6539334	
OXSR1	OXSR1	O95747	9943	OXSR1	23	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:30563844	
PIP4K2A	PI42A	P48426	5305	PIP4K2A	23	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:1318025;pubmed:24788727;pubmed:2538472;pubmed:8955136	
PRKAR1A	KAP0	P10644	5573	PRKAR1A	23	pubmed:12362340;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
PRMT5	ANM5	O14744	10419	PRMT5	23	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:30312994	
PRPS1	PRPS1	P60891	5631	PRPS1	23	pubmed:12362340;pubmed:14963112;pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:193849;pubmed:4351826;pubmed:4373874	
RAB5B	RAB5B	P61020	5869	RAB5B	23	pubmed:12362340;pubmed:16861337;pubmed:18494517;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323		
RAC1	RAC1	P63000	5879	RAC1	23	pubmed:12362340;pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30271928;pubmed:30327373;pubmed:31552303;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:33328606	
SORD	DHSO	Q00796	6652	SORD	23	pubmed:12362340;pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:10231461;pubmed:8487505	
FN3K	FN3K	Q9H479	64122	FN3K	22	pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11975663;pubmed:15137908	
GCLM	GSH0	P48507	2730	GCLM	22	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4388010	
GOT1	AATC	P17174	2805	GOT1	22	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:14217768	
HPRT1	HPRT	P00492	3251	HPRT1	22	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:22157974;pubmed:22954596;pubmed:24555563;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7107641;pubmed:7387617	
LDHB	LDHB	P07195	3945	LDHB	22	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:8906464	
LTA4H	LKHA4	P09960	4048	LTA4H	22	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2995393;pubmed:395949;pubmed:6058286	
PFKL	PFKAL	P17858	5211	PFKL	22	pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:2970843;pubmed:6444721;pubmed:6451249	
PGK1	PGK1	P00558	5230	PGK1	22	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4202713	
PGM2	PGM2	Q96G03	55276	PGM2	22	pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:17804405;pubmed:2533352;pubmed:2948936;pubmed:3157431;pubmed:4829444;pubmed:6240990;pubmed:6450158	
PKLR	KPYR	P30613	5313	PKLR	22	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:1201198;pubmed:20857498;pubmed:6407511	
PRDX1	PRDX1	Q06830	5052	PRDX1	22	pubmed:16861337;pubmed:18399644;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:22160369	
RPIA	RPIA	P49247	22934	RPIA	22	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:7396409	
TALDO1	TALDO	P37837	6888	TALDO1	22	pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11283793;pubmed:1463749	
ALAD	HEM2	P13716	210	ALAD	21	pubmed:19778645;pubmed:22157974;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:11468232;pubmed:2822713;pubmed:6826727;pubmed:900140	
APEH	ACPH	P13798	327	APEH	21	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10395453;pubmed:10719179;pubmed:7275011	
ARG1	ARGI1	P05089	383	ARG1	21	pubmed:12362340;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323	pubmed:13689647;pubmed:2085183;pubmed:5450162	
ATIC	PUR9	P31939	471	ATIC	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:4726849;pubmed:5955239	
BPGM	PMGE	P07738	669	BPGM	21	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33676898;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38147558;pubmed:38964323;pubmed:40043591	pubmed:10477270;pubmed:5687724	
