	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
15	ABCB6	605452	609153	ABCB6	gene	10058	ENSG00000115657	Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 (3)	2q35	ABCB6	chr2	ENSG00000115657	1921354	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 6	ABCB6	605452;609153	PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK	PSHK2
16	ABCB6	605452	614497	ABCB6	gene	10058	ENSG00000115657	Microphthalmia, isolated, with coloboma 7, 614497 (3)	2q35	ABCB6	chr2	ENSG00000115657	1921354	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 6	ABCB6	605452;614497	MICROPHTHALMIA/COLOBOMA 7	MCOPCB7
17	ABCB6	605452	615402	ABCB6	gene	10058	ENSG00000115657	Dyschromatosis universalis hereditaria 3, 615402 (3)	2q35	ABCB6	chr2	ENSG00000115657	1921354	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 6	ABCB6	605452;615402	DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3	DUH3
18	ABCC1	158343	618915	ABCC1	gene	4363	ENSG00000103222	?Deafness, autosomal dominant 77, 618915 (3)	16p13.11	ABCC1	chr16	ENSG00000103222	102676	ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 1	ABCC1	158343;618915	DEAFNESS, AUTOSOMAL DOMINANT 77	DFNA77
19	ABCC10	612509		ABCC10	gene	89845	ENSG00000124574				chr6	ENSG00000124574	2386976	ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 10	ABCC10	612509		
20	ABCC4	605250		ABCC4	gene	10257	ENSG00000125257				chr13	ENSG00000125257	2443111	ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 4	ABCC4	605250		
21	ABCC5	605251		ABCC5	gene	10057	ENSG00000114770				chr3	ENSG00000114770	1351644	ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 5	ABCC5	605251		
22	ABCE1	601213		ABCE1	gene	6059	ENSG00000164163				chr4	ENSG00000164163	1195458	RIBONUCLEASE 4 INHIBITOR	RNS4I	601213		
23	ABCG2	603756	138900	ABCG2	gene	9429	ENSG00000118777	[Uric acid concentration, serum, QTL1], 138900 (3)	4q22.1	ABCG2	chr4	ENSG00000118777	1347061;1351624	ATP-BINDING CASSETTE, SUBFAMILY G, MEMBER 2	ABCG2	138900;603756	URIC ACID CONCENTRATION, SERUM, QUANTITATIVE TRAIT LOCUS 1	UAQTL1
24	ABCG2	603756	614490	ABCG2	gene	9429	ENSG00000118777	[Junior blood group system], 614490 (3)	4q22.1	ABCG2	chr4	ENSG00000118777	1347061;1351624	ATP-BINDING CASSETTE, SUBFAMILY G, MEMBER 2	ABCG2	603756;614490	BLOOD GROUP, JUNIOR SYSTEM	JR
25	ABHD16A	142620	619735	ABHD16A	gene	7920	ENSG00000204427	Spastic paraplegia 86, autosomal recessive, 619735 (3)	6p21.33	ABHD16A	chr6	ENSG00000204427	99476	ABHYDROLASE DOMAIN-CONTAINING PROTEIN 16A, PHOSPHOLIPASE	ABHD16A	142620;619735	SPASTIC PARAPLEGIA 86, AUTOSOMAL RECESSIVE	SPG86
26	ABHD17B	617943		ABHD17B	gene	51104	ENSG00000107362				chr9	ENSG00000107362	1917816	ABHYDROLASE DOMAIN-CONTAINING PROTEIN 17B, DEPALMITOYLASE	ABHD17B	617943		
27	ABO	110300	616093	ABO	gene	28	ENSG00000175164	[Blood group, ABO system], 616093 (3)	9q34.2	ABO	chr9	ENSG00000175164	2135738	ABO GLYCOSYLTRANSFERASE	ABO	110300;616093	BLOOD GROUP, ABO SYSTEM	
28	ACAT2	100678	614055	ACAT2	gene	39	ENSG00000120437	?ACAT2 deficiency, 614055 (1)	6q25.3	ACAT2	chr6	ENSG00000120437	109182;87871	ACETYL-CoA ACETYLTRANSFERASE 2	ACAT2	100678;614055	ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY	ACAT2D
29	ACER2	613492		ACER2	gene	340485	ENSG00000177076				chr9	ENSG00000177076	1920932	ALKALINE CERAMIDASE 2	ACER2	613492		
30	ACHE	100740	112100	ACHE	gene	43	ENSG00000087085	[Blood group, Yt system], 112100 (3)	7q22.1	ACHE	chr7	ENSG00000087085	87876	ACETYLCHOLINESTERASE	ACHE	100740;112100	YT BLOOD GROUP ANTIGEN	
31	ACLY	108728		ACLY	gene	47	ENSG00000131473				chr17	ENSG00000131473	103251	ATP CITRATE LYASE	ACLY	108728		
32	ACO1	100880		ACO1	gene	48	ENSG00000122729				chr9	ENSG00000122729	87879	ACONITASE 1, SOLUBLE	ACO1	100880		
33	ACOT7	602587		ACOT7	gene	11332	ENSG00000097021				chr1	ENSG00000097021	1917275	ACYL-CoA THIOESTERASE 7	ACOT7	602587		
34	ACP1	171500		ACP1	gene	52	ENSG00000143727				chr2	ENSG00000143727	87881	ACID PHOSPHATASE 1, SOLUBLE	ACP1	171500		
35	ACSL1	152425		ACSL1	gene	2180	ENSG00000151726				chr4	ENSG00000151726	102797	ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 1	ACSL1	152425		
36	ACSL3	602371		ACSL3	gene	2181	ENSG00000123983				chr2	ENSG00000123983	1921455	ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 3	ACSL3	602371		
37	ACSL4	300157	300387	ACSL4	gene	2182	ENSG00000068366	Intellectual developmental disorder, X-linked 63, 300387 (3)	Xq23	ACSL4	chrX	ENSG00000068366	1354713	ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 4	ACSL4	300157;300387	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 63	XLID63
38	ACSL6	604443		ACSL6	gene	23305	ENSG00000164398	Myelogenous leukemia, acute (3);Myelodysplastic syndrome (3)	5q31.1	ACSL6	chr5	ENSG00000164398	894291	ACYL-CoA SYNTHETASE LONG CHAIN FAMILY, MEMBER 6	ACSL6	604443		
39	ACSS2	605832		ACSS2	gene	55902	ENSG00000131069				chr20	ENSG00000131069	1890410	ACETYL-CoA SYNTHETASE SHORT CHAIN FAMILY, MEMBER 2	ACSS2	605832		
40	ACTA1	102610	161800	ACTA1	gene	58	ENSG00000143632	Congenital myopathy 2A, typical, autosomal dominant, 161800 (3)	1q42.13	ACTA1	chr1	ENSG00000143632	87902	ACTIN, ALPHA-1, SKELETAL MUSCLE	ACTA1	102610;161800	CONGENITAL MYOPATHY 2A, TYPICAL, AUTOSOMAL DOMINANT	CMYP2A
41	ACTA1	102610	616852	ACTA1	gene	58	ENSG00000143632	?Myopathy, scapulohumeroperoneal, 616852 (3)	1q42.13	ACTA1	chr1	ENSG00000143632	87902	ACTIN, ALPHA-1, SKELETAL MUSCLE	ACTA1	102610;616852	MYOPATHY, SCAPULOHUMEROPERONEAL	SHPM
42	ACTA1	102610	620265	ACTA1	gene	58	ENSG00000143632	Congenital myopathy 2B, severe infantile, autosomal recessive, 620265 (3)	1q42.13	ACTA1	chr1	ENSG00000143632	87902	ACTIN, ALPHA-1, SKELETAL MUSCLE	ACTA1	102610;620265	CONGENITAL MYOPATHY 2B, SEVERE INFANTILE, AUTOSOMAL RECESSIVE	CMYP2B
43	ACTA1	102610	620278	ACTA1	gene	58	ENSG00000143632	Congenital myopathy 2C, severe infantile, autosomal dominant, 620278 (3)	1q42.13	ACTA1	chr1	ENSG00000143632	87902	ACTIN, ALPHA-1, SKELETAL MUSCLE	ACTA1	102610;620278	CONGENITAL MYOPATHY 2C, SEVERE INFANTILE, AUTOSOMAL DOMINANT	CMYP2C
44	ACTB	102630	243310	ACTB	gene	60	ENSG00000075624	Baraitser-Winter syndrome 1, 243310 (3)	7p22.1	ACTB	chr7	ENSG00000075624	87904	ACTIN, BETA	ACTB	102630;243310	BARAITSER-WINTER SYNDROME 1	BRWS1
45	ACTB	102630	604919	ACTB	gene	60	ENSG00000075624	Becker nevus, syndromic or isolated, somatic mosaic, 604919 (3)	7p22.1	ACTB	chr7	ENSG00000075624	87904	ACTIN, BETA	ACTB	102630;604919	BECKER NEVUS SYNDROME	BNS
46	ACTB	102630	607371	ACTB	gene	60	ENSG00000075624	Dystonia-deafness syndrome 1, 607371 (3)	7p22.1	ACTB	chr7	ENSG00000075624	87904	ACTIN, BETA	ACTB	102630;607371	DYSTONIA-DEAFNESS SYNDROME 1	DDS1
47	ACTB	102630	620475	ACTB	gene	60	ENSG00000075624	Thrombocytopenia 8, with dysmorphic features and developmental delay, 620475 (3)	7p22.1	ACTB	chr7	ENSG00000075624	87904	ACTIN, BETA	ACTB	102630;620475	THROMBOCYTOPENIA 8, WITH DYSMORPHIC FEATURES AND DEVELOPMENTAL DELAY	THC8
48	ACTB	102630	620479	ACTB	gene	60	ENSG00000075624	Congenital smooth muscle hamartoma with or without hemihypertrophy, somatic mosaic, 620479 (3)	7p22.1	ACTB	chr7	ENSG00000075624	87904	ACTIN, BETA	ACTB	102630;620479	CENTRIOLAR SATELLITE-ASSOCIATED TUBULIN POLYGLUTAMYLASE COMPLEX REGULATOR 1	CSTPP1
49	ACTC1	102540	612098	ACTC1	gene	70	ENSG00000159251	Cardiomyopathy, hypertrophic, 11, 612098 (3)	15q14	ACTC1	chr15	ENSG00000159251	87905	ACTIN, ALPHA, CARDIAC MUSCLE	ACTC1	102540;612098	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 11	CMH11
50	ACTC1	102540	612794	ACTC1	gene	70	ENSG00000159251	Atrial septal defect 5, 612794 (3)	15q14	ACTC1	chr15	ENSG00000159251	87905	ACTIN, ALPHA, CARDIAC MUSCLE	ACTC1	102540;612794	ATRIAL SEPTAL DEFECT 5	ASD5
51	ACTC1	102540	613424	ACTC1	gene	70	ENSG00000159251	Cardiomyopathy, dilated, 1R, 613424 (3);Left ventricular noncompaction 4, 613424 (3)	15q14	ACTC1	chr15	ENSG00000159251	87905	ACTIN, ALPHA, CARDIAC MUSCLE	ACTC1	102540;613424	CARDIOMYOPATHY, DILATED, 1R	CMD1R
52	ACTG1	102560	604717	ACTG1	gene	71	ENSG00000184009	Deafness, autosomal dominant 20/26, 604717 (3)	17q25.3	ACTG1	chr17	ENSG00000184009	87906	ACTIN, GAMMA-1	ACTG1	102560;604717	DEAFNESS, AUTOSOMAL DOMINANT 20	DFNA20
53	ACTG1	102560	614583	ACTG1	gene	71	ENSG00000184009	Baraitser-Winter syndrome 2, 614583 (3)	17q25.3	ACTG1	chr17	ENSG00000184009	87906	ACTIN, GAMMA-1	ACTG1	102560;614583	BARAITSER-WINTER SYNDROME 2	BRWS2
54	ACY1	104620	609924	ACY1	gene	95	ENSG00000243989	Aminoacylase 1 deficiency, 609924 (3)	3p21.2	ACY1	chr3	ENSG00000243989	87913	AMINOACYLASE 1	ACY1	104620;609924	AMINOACYLASE 1 DEFICIENCY	ACY1D
55	ACYP1	600875		ACYP1	gene	97	ENSG00000119640				chr14	ENSG00000119640	1913454	ACYLPHOSPHATASE, ERYTHROCYTE	ACYP1	600875		
56	ACYP2	102595		ACYP2	gene	98	ENSG00000170634				chr2	ENSG00000170634	1922822	ACYLPHOSPHATASE 2, MUSCLE TYPE	ACYP2	102595		
57	ADA	608958	102700	ADA	gene	100	ENSG00000196839	Adenosine deaminase deficiency, partial, 102700 (3);Severe combined immunodeficiency due to ADA deficiency, 102700 (3)	20q13.12	ADA	chr20	ENSG00000196839	87916	ADENOSINE DEAMINASE	ADA	102700;608958	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	
58	ADCY10	605205	143870	ADCY10	gene	55811	ENSG00000143199	{Hypercalciuria, absorptive, susceptibility to}, 143870 (3)	1q24.2	ADCY10	chr1	ENSG00000143199	2660854	ADENYLATE CYCLASE 10	ADCY10	143870;605205	HYPERCALCIURIA, ABSORPTIVE, 2	HCA2
59	ADCY2	103071		ADCY2	gene	108	ENSG00000078295				chr5	ENSG00000078295	99676	ADENYLATE CYCLASE 2	ADCY2	103071		
60	ADH5	103710	619151	ADH5	gene	128	ENSG00000197894	AMED syndrome, digenic, 619151 (3)	4q23	ADH5	chr4	ENSG00000197894	87929	ALCOHOL DEHYDROGENASE 5, CHI POLYPEPTIDE	ADH5	103710;619151	AMED SYNDROME, DIGENIC	AMEDS
61	ADI1	613400		ADI1	gene	55256	ENSG00000182551				chr2	ENSG00000182551	2144929	ACIREDUCTONE DIOXYGENASE 1	ADI1	613400		
62	ADK	102750	614300	ADK	gene	132	ENSG00000156110	Hypermethioninemia due to adenosine kinase deficiency, 614300 (3)	10q22.2	ADK	chr10	ENSG00000156110	87930	ADENOSINE KINASE	ADK	102750;614300	HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY	
63	ADPGK	611861		ADPGK	gene	83440	ENSG00000159322				chr15	ENSG00000159322	1919391	ADP-DEPENDENT GLUCOKINASE	ADPGK	611861		
64	ADPRS	610624	618170	ADPRS	gene	54936	ENSG00000116863	Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3)	1p34.3	ADPRHL2	chr1	ENSG00000116863	2140364	ADP-RIBOSYLHYDROLASE-LIKE 2	ADPRHL2	610624;618170	NEURODEGENERATION, CHILDHOOD-ONSET, STRESS-INDUCED, WITH VARIABLE ATAXIA AND SEIZURES	CONDSIAS
65	ADSL	608222	103050	ADSL	gene	158	ENSG00000239900	Adenylosuccinase deficiency, 103050 (3)	22q13.1	ADSL	chr22	ENSG00000239900	103202	ADENYLOSUCCINATE LYASE	ADSL	103050;608222	ADENYLOSUCCINASE DEFICIENCY	ADSLD
66	ADSS2	103060		ADSS2	gene	159	ENSG00000035687				chr1	ENSG00000035687	87948	ADENYLOSUCCINATE SYNTHETASE	ADSS	103060		
67	AGL	610860	232400	AGL	gene	178	ENSG00000162688	Glycogen storage disease IIIa, 232400 (3);Glycogen storage disease IIIb, 232400 (3)	1p21.2	AGL	chr1	ENSG00000162688	1924809	AMYLO-1,6-GLUCOSIDASE, 4-ALPHA-GLUCANOTRANSFERASE	AGL	232400;610860	GLYCOGEN STORAGE DISEASE III	GSD3
68	AGPAT1	603099		AGPAT1	gene	10554	ENSG00000204310				chr6	ENSG00000204310	1932075	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 1	AGPAT1	603099		
69	AGPAT3	614794		AGPAT3	gene	56894	ENSG00000160216				chr21	ENSG00000160216	1336186	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 3	AGPAT3	614794		
70	AGPAT4	614795		AGPAT4	gene	56895	ENSG00000026652				chr6	ENSG00000026652	1915512	1-ACYLGLYCEROL-3-PHOSPHATE O-ACYLTRANSFERASE 4	AGPAT4	614795		
71	AGT	106150		AGT	gene/phenotype	183	ENSG00000135744	{Preeclampsia, susceptibility to} (3)	1q42.2	AGT	chr1	ENSG00000135744	87963	ANGIOTENSINOGEN	AGT	106150		
72	AGT	106150	145500	AGT	gene/phenotype	183	ENSG00000135744	{Hypertension, essential, susceptibility to}, 145500 (3)	1q42.2	AGT	chr1	ENSG00000135744	87963	ANGIOTENSINOGEN	AGT	106150;145500	HYPERTENSION, ESSENTIAL	
73	AGT	106150	267430	AGT	gene/phenotype	183	ENSG00000135744	Renal tubular dysgenesis, 267430 (3)	1q42.2	AGT	chr1	ENSG00000135744	87963	ANGIOTENSINOGEN	AGT	106150;267430	RENAL TUBULAR DYSGENESIS	RTD
74	AHCY	180960	613752	AHCY	gene	191	ENSG00000101444	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752 (3)	20q11.22	AHCY	chr20	ENSG00000101444	3643647;87968	S-ADENOSYLHOMOCYSTEINE HYDROLASE	AHCY	180960;613752	HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY	
75	AK1	103000	612631	AK1	gene	203	ENSG00000106992	Hemolytic anemia due to adenylate kinase deficiency, 612631 (3)	9q34.11	AK1	chr9	ENSG00000106992	87977	ADENYLATE KINASE 1	AK1	103000;612631	ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO	
76	AKR1A1	103830		AKR1A1	gene	10327	ENSG00000117448				chr1	ENSG00000117448	1929955	ALDO-KETO REDUCTASE FAMILY 1, MEMBER A1	AKR1A1	103830		
77	AKR1B1	103880		AKR1B1	gene	231	ENSG00000085662				chr7	ENSG00000085662	1353494	ALDO-KETO REDUCTASE FAMILY 1, MEMBER B1	AKR1B1	103880		
78	AKR1C3	603966		AKR1C3	gene	8644	ENSG00000196139				chr10	ENSG00000196139	1918111;1933427;2145420;2145458;2151104	ALDO-KETO REDUCTASE FAMILY 1, MEMBER C3	AKR1C3	603966		
79	AKR7A2	603418		AKR7A2	gene	8574	ENSG00000053371				chr1	ENSG00000053371	107796	ALDO-KETO REDUCTASE FAMILY 7, MEMBER A2	AKR7A2	603418		
80	ALAD	125270	612740	ALAD	gene	210	ENSG00000148218	Porphyria, acute hepatic, 612740 (3);{Lead poisoning, susceptibility to}, 612740 (3)	9q32	ALAD	chr9	ENSG00000148218	96853	DELTA-AMINOLEVULINATE DEHYDRATASE	ALAD	125270;612740	PORPHYRIA, ACUTE HEPATIC	
81	ALDH1A1	100640		ALDH1A1	gene	216	ENSG00000165092				chr9	ENSG00000165092	1347050;1353450	ALDEHYDE DEHYDROGENASE 1 FAMILY, MEMBER A1	ALDH1A1	100640		
82	ALDH3A1	100660		ALDH3A1	gene	218	ENSG00000108602				chr17	ENSG00000108602	1353451	ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 1	ALDH3A1	100660		
83	ALDH3A2	609523	270200	ALDH3A2	gene	224	ENSG00000072210	Sjogren-Larsson syndrome, 270200 (3)	17p11.2	ALDH3A2	chr17	ENSG00000072210	1353452	ALDEHYDE DEHYDROGENASE, FAMILY 3, SUBFAMILY A, MEMBER 2	ALDH3A2	270200;609523	SJOGREN-LARSSON SYNDROME	SLS
84	ALDH3B1	600466		ALDH3B1	gene	221	ENSG00000006534				chr11	ENSG00000006534	1914939	ALDEHYDE DEHYDROGENASE 3 FAMILY, MEMBER B1	ALDH3B1	600466		
85	ALDH9A1	602733		ALDH9A1	gene	223	ENSG00000143149				chr1	ENSG00000143149	1861622	ALDEHYDE DEHYDROGENASE, FAMILY 9, SUBFAMILY A, MEMBER 1	ALDH9A1	602733		
86	ALDOA	103850	611881	ALDOA	gene	226	ENSG00000149925	Glycogen storage disease XII, 611881 (3)	16p11.2	ALDOA	chr16	ENSG00000149925	87994	ALDOLASE A, FRUCTOSE-BISPHOSPHATE	ALDOA	103850;611881	GLYCOGEN STORAGE DISEASE XII	GSD12
87	ALDOB	612724	229600	ALDOB	gene	229	ENSG00000136872	Fructose intolerance, hereditary, 229600 (3)	9q31.1	ALDOB	chr9	ENSG00000136872	87995	ALDOLASE B, FRUCTOSE-BISPHOSPHATE	ALDOB	229600;612724	FRUCTOSE INTOLERANCE, HEREDITARY	HFI
88	ALDOC	103870		ALDOC	gene	230	ENSG00000109107				chr17	ENSG00000109107	101863	ALDOLASE C, FRUCTOSE-BISPHOSPHATE	ALDOC	103870		
89	ALPL	171760	146300	ALPL	gene	249	ENSG00000162551	Odontohypophosphatasia, 146300 (3);Hypophosphatasia, adult, 146300 (3)	1p36.12	ALPL	chr1	ENSG00000162551	87983	ALKALINE PHOSPHATASE, LIVER	ALPL	146300;171760	HYPOPHOSPHATASIA, ADULT	HPPA
90	ALPL	171760	241500	ALPL	gene	249	ENSG00000162551	Hypophosphatasia, infantile, 241500 (3)	1p36.12	ALPL	chr1	ENSG00000162551	87983	ALKALINE PHOSPHATASE, LIVER	ALPL	171760;241500	HYPOPHOSPHATASIA, INFANTILE	HPPI
91	ALPL	171760	241510	ALPL	gene	249	ENSG00000162551	Hypophosphatasia, childhood, 241510 (3)	1p36.12	ALPL	chr1	ENSG00000162551	87983	ALKALINE PHOSPHATASE, LIVER	ALPL	171760;241510	HYPOPHOSPHATASIA, CHILDHOOD	HPPC
92	AMPD3	102772	612874	AMPD3	gene	272	ENSG00000133805	[AMP deaminase deficiency, erythrocytic], 612874 (3)	11p15.4	AMPD3	chr11	ENSG00000133805	1096344	ADENOSINE MONOPHOSPHATE DEAMINASE 3	AMPD3	102772;612874	ERYTHROCYTE AMP DEAMINASE DEFICIENCY	
93	ANKH	605145	118600	ANKH	gene	56172	ENSG00000154122	Chondrocalcinosis 2, 118600 (3)	5p15.2	ANKH	chr5	ENSG00000154122	3045421	ANKH INORGANIC PYROPHOSPHATE TRANSPORT REGULATOR	ANKH	118600;605145	CHONDROCALCINOSIS 2	CCAL2
94	ANKH	605145	123000	ANKH	gene	56172	ENSG00000154122	Craniometaphyseal dysplasia, 123000 (3)	5p15.2	ANKH	chr5	ENSG00000154122	3045421	ANKH INORGANIC PYROPHOSPHATE TRANSPORT REGULATOR	ANKH	123000;605145	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT	CMDD
95	ANO6	608663	262890	ANO6	gene	196527	ENSG00000177119	Scott syndrome, 262890 (3)	12q12	ANO6	chr12	ENSG00000177119	2145890	ANOCTAMIN 6	ANO6	262890;608663	SCOTT SYNDROME	SCTS
96	ANPEP	151530		ANPEP	gene	290	ENSG00000166825				chr15	ENSG00000166825	5000466	ALANYL AMINOPEPTIDASE	ANPEP	151530		
97	APEH	102645		APEH	gene	327	ENSG00000164062				chr3	ENSG00000164062	88041	ACYLAMINOACYL-PEPTIDE HYDROLASE	APEH	102645		
98	APIP	612491		APIP	gene	51074	ENSG00000149089				chr11	ENSG00000149089	1926788	APAF1-INTERACTING PROTEIN	APIP	612491		
99	APRT	102600	614723	APRT	gene	353	ENSG00000198931	Adenine phosphoribosyltransferase deficiency, 614723 (3)	16q24.3	APRT	chr16	ENSG00000198931	88061	ADENINE PHOSPHORIBOSYLTRANSFERASE	APRT	102600;614723	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY	APRTD
100	AQP1	107776	110450	AQP1	gene	358	ENSG00000240583	[Blood group, Colton], 110450 (3);[Aquaporin-1 deficiency], 110450 (3)	7p14.3	AQP1	chr7	ENSG00000240583	103201	AQUAPORIN 1	AQP1	107776;110450	BLOOD GROUP, COLTON SYSTEM	CO
