	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	UniParc	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	GeneID	KEGG	CTD	GeneCards	HGNC	HPA	MIM	neXtProt	Orphanet	PharmGKB	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	ProDom	PROSITE	SMART	SUPFAM
65	P09960	LTA4H	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=1; Synonyms=L-LTA4; IsoId=P09960-1; Sequence=Displayed; Name=2; Synonyms=S-LTA4; IsoId=P09960-2; Sequence=VSP_041108, VSP_041109; Name=3; IsoId=P09960-3; Sequence=VSP_041107, VSP_041108, VSP_041109; Name=4; IsoId=P09960-4; Sequence=VSP_041107;	UPI0000111C40	CCDS58266.1 [P09960-3];CCDS58267.1 [P09960-4];CCDS9059.1 [P09960-1];	J03459;J02959;U27293;U27275;U27276;U27277;U27278;U27279;U27280;U27281;U27282;U27283;U27284;U27285;U27286;U27287;U27288;U27289;U27290;U27291;U27292;AK298017;CR457068;BX647158;AC007298;CH471054;BC032528;U43410;U43411;	NP_000886.1 [P09960-1];NP_001243572.1 [P09960-4];NP_001243573.1 [P09960-3];XP_005268928.1;		1GW6;1H19;1HS6;1SQM;2R59;2VJ8;3B7R;3B7S;3B7T;3B7U;3CHO;3CHP;3CHQ;3CHR;3CHS;3FH5;3FH7;3FH8;3FHE;3FTS;3FTU;3FTV;3FTW;3FTX;3FTY;3FTZ;3FU0;3FU3;3FU5;3FU6;3FUD;3FUE;3FUF;3FUH;3FUI;3FUJ;3FUK;3FUL;3FUM;3FUN;3U9W;4DPR;4L2L;4MKT;4MS6;4R7L;4RSY;4RVB;5AEN;5BPP;5FWQ;5N3W;5NI2;5NI4;5NI6;5NIA;5NID;5NIE;6ENB;6ENC;6END;6O5H;7AUZ;7AV0;7AV1;7AV2;7KZE;7LLQ;8AVA;8AWH;		P09960;	110226;					P09960;	P09960;	9606.ENSP00000228740;	P09960;	CHEMBL4618;	DB07102;DB06917;DB07258;DB07094;DB07259;DB02352;DB07292;DB07104;DB06828;DB08466;DB01197;DB05177;DB03366;DB08040;DB06851;DB02062;DB07099;DB07260;DB07196;DB11781;DB03424;DB07237;	P09960;	SLP:000001118;				M01.004;					P09960;	rs45630737		P09960;	P09960;	P09960;	P09960;	9606-ENSP00000228740;	P09960;	28779;52284 [P09960-1];52285 [P09960-2];52286 [P09960-3];	ENST00000228740.7 [P09960-1];ENST00000413268.6 [P09960-3];ENST00000552789.5 [P09960-4];	4048;	hsa:4048;	4048;	LTA4H;	HGNC:6710;	ENSG00000111144;	151570;	NX_P09960;		PA24345;	KOG1047;	ENSGT00940000156375;	CLU_014505_0_0_1;	CTALQWM;	443480at2759;	P09960;	TF300758;	MetaCyc:HS03372-MONOMER;	3.3.2.6;3.4.11.6;	P09960;	R-HSA-2142691;R-HSA-6798695;R-HSA-9018676;R-HSA-9018681;R-HSA-9018896;R-HSA-9020265;R-HSA-9023661;			ENSG00000111144;	P09960;	cd09599;			IPR045357;IPR042097;IPR016024;IPR012777;IPR038502;IPR034015;IPR001930;IPR015211;IPR014782;IPR027268;	PTHR45726;PTHR45726:SF3;	PF09127;PF01433;PF17900;		PR00756;		PS00142;	SM01263;	SSF48371;SSF63737;SSF55486;
66	P09972	ALDOC	9606	ALTERNATIVE PRODUCTS:  	UPI0000000C53	CCDS11236.1;	X05196;X07292;AF054987;BT007006;CR541862;CR541881;AK312281;CH471159;BC003613;BC103760;BC065565;BC106925;BC106926;	NP_005156.1;XP_005258006.1;XP_011522858.1;		1XFB;		P09972;	106731;					P09972;	P09972;	9606.ENSP00000226253;		CHEMBL4295709;												P09972;			P09972;	P09972;	P09972;	P09972;	9606-ENSP00000226253;	P09972;	52287;	ENST00000226253.9;ENST00000395321.6;	230;	hsa:230;	230;	ALDOC;	HGNC:418;	ENSG00000109107;	103870;	NX_P09972;		PA24711;	KOG1557;	ENSGT00950000182987;	CLU_031243_0_0_1;	GHCHRSA;	3664741at2759;	P09972;	TF314203;	MetaCyc:HS03200-MONOMER;		P09972;	R-HSA-6798695;R-HSA-70171;R-HSA-70263;	P09972;	Aldolase_C;	ENSG00000109107;	P09972;	cd00948;			IPR029768;IPR013785;IPR000741;	PTHR11627;PTHR11627:SF3;	PF00274;				PS00158;		SSF51569;
67	P10746	UROS	9606	ALTERNATIVE PRODUCTS:  	UPI000012C4A4	CCDS7648.1;	J03824;AF230665;AH010036;AK314896;AL360176;CH471066;CH471066;BC002573;	NP_000366.1;	P10746;	1JR2;		P10746;	113236;					P10746;		9606.ENSP00000357787;		CHEMBL4433;												P10746;	rs773301339 rs121908015 rs397515527 rs121908013 rs28941775 rs28941774 rs121908012 rs121908016 rs397515528 rs17153561 rs17173752 rs121908017 rs121908017 rs139388833 rs767029901 rs121908020 rs121908014 rs777433697 rs121908021		P10746;	P10746;	P10746;		9606-ENSP00000357787;	P10746;	52644;	ENST00000368786.5;ENST00000368797.10;	7390;	hsa:7390;	7390;	UROS;	HGNC:12592;	ENSG00000188690;	263700;606938;	NX_P10746;	79277;	PA37222;	KOG4132;	ENSGT00390000009853;	CLU_051874_1_1_1;	IHGADTG;	1472480at2759;	P10746;	TF324092;	MetaCyc:HS07569-MONOMER;	4.2.1.75;	P10746;	R-HSA-189451;			ENSG00000188690;	P10746;	cd06578;			IPR036108;IPR003754;IPR039793;	PTHR12390;PTHR12390:SF0;	PF02602;						SSF69618;
68	P11166	SLC2A1	9606	ALTERNATIVE PRODUCTS:  	UPI00002058B9	CCDS477.1;	K03195;AK292791;AK312403;CH471059;BC118590;BC121804;M20653;AF070544;AY034633;	NP_006507.2;		4PYP;5EQG;5EQH;5EQI;6THA;		P11166;	112404;	P11166;	CPX-3111;	DIP-23N;		P11166;	P11166;	9606.ENSP00000416293;	P11166;	CHEMBL2535;	DB08831;DB00126;DB00237;DB11059;DB01914;DB08830;DB09341;DB00292;DB09502;DB01296;DB02709;	P11166;								2.A.1.1.28;		P11166;	rs80359812 rs80359812 rs201815571 rs142986731 rs80359813 rs1187210267 rs80359814 rs202060209 rs267607061 rs267607060 rs753161833 rs80359818 rs80359816 rs80359816 rs80359819 rs80359820 rs794727642 rs1057520545 rs80359832 rs387907312 rs886039517 rs397514564 rs397514564 rs796053248 rs387907313 rs121909738 rs121909740 rs864309514 rs80359823 rs1205631854 rs80359824 rs121909739 rs796053253 rs1553155986 rs80359825 rs398123069 rs13306758 rs267607059		P11166;	P11166;	P11166;		9606-ENSP00000416293;	P11166;	52703;	ENST00000426263.10;	6513;	hsa:6513;	6513;	SLC2A1;	HGNC:11005;	ENSG00000117394;	138140;601042;606777;608885;612126;614847;	NX_P11166;	64280;71277;86911;168577;1942;53583;98811;	PA35875;	KOG0569;	ENSGT00940000156792;	CLU_001265_30_5_1;	WAITASF;	1899001at2759;	P11166;	TF313762;	MetaCyc:ENSG00000117394-MONOMER;		P11166;	R-HSA-189200;R-HSA-196836;R-HSA-422356;R-HSA-5619043;R-HSA-5653890;	P11166;	GLUT1;	ENSG00000117394;	P11166;	cd17431;	DP02855;		IPR002439;IPR045263;IPR020846;IPR005828;IPR036259;IPR003663;IPR005829;	PTHR23503;PTHR23503:SF51;	PF00083;		PR01190;PR00171;		PS50850;PS00216;PS00217;		SSF103473;
69	P11168	SLC2A2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P11168-1; Sequence=Displayed; Name=2; IsoId=P11168-2; Sequence=VSP_054835;	UPI000004EC97	CCDS3215.1 [P11168-1];	J03810;AK290846;AK298418;AK313622;AC061708;AC092918;CH471052;	NP_000331.1 [P11168-1];NP_001265587.1 [P11168-2];NP_001265588.1;				P11168;	112405;					P11168;		9606.ENSP00000323568;	P11168;	CHEMBL5873;	DB01914;DB09341;DB09502;DB01296;DB09344;DB00428;									2.A.1.1.29;		P11168;	rs7637863 rs1800572 rs5400 rs121909741 rs121909747 rs2229608 rs121909744 rs28928874 rs5397			P11168;	P11168;		9606-ENSP00000323568;	P11168;	30213;52704 [P11168-1];	ENST00000314251.8 [P11168-1];	6514;	hsa:6514;	6514;	SLC2A2;	HGNC:11006;	ENSG00000163581;	138160;227810;	NX_P11168;	2088;	PA35876;	KOG0569;	ENSGT00940000155708;	CLU_001265_30_5_1;	MYQSEST;	1899001at2759;	P11168;	TF313762;	MetaCyc:ENSG00000163581-MONOMER;		P11168;	R-HSA-189200;R-HSA-210745;R-HSA-422356;R-HSA-5619098;R-HSA-8981373;	P11168;		ENSG00000163581;	P11168;	cd17431;			IPR002440;IPR045263;IPR020846;IPR005828;IPR036259;IPR003663;IPR005829;	PTHR23503;PTHR23503:SF27;	PF00083;		PR01191;PR00171;		PS50850;PS00216;PS00217;		SSF103473;
70	P11169	SLC2A3	9606	ALTERNATIVE PRODUCTS:  	UPI0000001C7D	CCDS8586.1;	M20681;AF274892;AF274889;AF274890;AF274891;CR457413;AK312386;CH471116;CH471116;BC039196;AY034634;	NP_008862.1;		4ZW9;4ZWB;4ZWC;5C65;7CRZ;7SPS;7SPT;		P11169;	112406;					P11169;		9606.ENSP00000075120;	P11169;	CHEMBL5215;	DB00126;DB01914;DB09341;DB09502;DB01296;									2.A.1.1.91;		P11169;	rs17728193		P11169;	P11169;	P11169;		9606-ENSP00000075120;	P11169;	52705;	ENST00000075120.12;	6515;	hsa:6515;	6515;	SLC2A3;	HGNC:11007;	ENSG00000059804;	138170;	NX_P11169;	399;	PA35877;	KOG0569;	ENSGT00940000162491;	CLU_001265_30_5_1;	YWIDYGT;	1899001at2759;	P11169;	TF313762;			P11169;	R-HSA-189200;R-HSA-196836;R-HSA-6798695;R-HSA-9022699;	P11169;		ENSG00000059804;	P11169;	cd17431;			IPR002945;IPR045263;IPR020846;IPR005828;IPR036259;IPR003663;IPR005829;	PTHR23503;PTHR23503:SF99;	PF00083;		PR01192;PR00171;		PS50850;PS00216;PS00217;		SSF103473;
71	P11172	UMPS	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=1; IsoId=P11172-1; Sequence=Displayed; Name=2; IsoId=P11172-2; Sequence=VSP_009273; Name=3; IsoId=P11172-3; Sequence=VSP_047611; Name=4; IsoId=P11172-4; Sequence=VSP_009273, VSP_047612;	UPI0000001223	CCDS3029.1 [P11172-1];	J03626;D86227;D86228;D86230;AB041359;EU921891;EU921895;AB062285;CR456787;AL080099;AY691629;AC022336;BC000364;BC007511;M36661;	NP_000364.1 [P11172-1];		2EAW;2JGY;2P1F;2QCC;2QCD;2QCE;2QCF;2QCG;2QCH;2QCL;2QCM;2QCN;2V30;2WNS;3BGG;3BGJ;3BK0;3BVJ;3DBP;3EWU;3EWW;3EWX;3EWY;3EWZ;3EX1;3EX2;3EX3;3EX4;3EX6;3G3D;3G3M;3L0K;3L0N;3MI2;3MO7;3MW7;4HIB;4HKP;6YVK;6YVL;6YVM;6YVN;6YVO;6YWT;6YWU;6ZWY;6ZWZ;6ZX0;6ZX1;6ZX2;6ZX3;7AM9;7ASQ;7OQF;7OQI;7OQK;7OQM;7OQN;7OTU;7OUZ;7OV0;7Q1H;		P11172;	113218;			DIP-29595N;		P11172;	P11172;	9606.ENSP00000232607;	P11172;	CHEMBL5216;	DB02890;DB00544;	P11172;										P11172;	rs17843776 rs121917890 rs121917892 rs1801019 rs121917891 rs3772809		P11172;	P11172;	P11172;		9606-ENSP00000232607;	P11172;	52713 [P11172-1];52714 [P11172-2];5937;5938;	ENST00000232607.7 [P11172-1];	7372;	hsa:7372;	7372;	UMPS;	HGNC:12563;	ENSG00000114491;	258900;613891;	NX_P11172;	30;	PA363;	KOG1377;	ENSGT00390000001856;	CLU_049275_1_0_1;	SAKHVCG;	922at2759;	P11172;	TF314694;		4.1.1.23;	P11172;	R-HSA-500753;	P11172;	Uridine_monophosphate_synthetase;	ENSG00000114491;	P11172;	cd04725;cd06223;		MF_01208;	IPR013785;IPR014732;IPR018089;IPR001754;IPR023031;IPR004467;IPR000836;IPR029057;IPR011060;	PTHR19278;PTHR19278:SF9;	PF00215;PF00156;				PS00156;PS00103;	SM00934;	SSF53271;SSF51366;
72	P11413	G6PD	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=Short; IsoId=P11413-1; Sequence=Displayed; Name=Long; IsoId=P11413-2; Sequence=VSP_001592; Name=3; IsoId=P11413-3; Sequence=VSP_037802;	UPI0000061E0E	CCDS44023.1 [P11413-1];	X03674;M65234;M26749;M26750;M65225;M65226;M65227;M65228;M65229;M65230;M65231;M65233;M65232;M21248;M19866;X55448;L44140;AF277315;CH471172;CH471172;BC000337;M27940;S58359;X53815;S64462;AY158096;AY158097;AY158098;AY158099;AY158100;AY158101;AY158102;AY158103;AY158104;AY158105;AY158106;AY158107;AY158108;AY158109;AY158110;AY158111;AY158112;AY158113;AY158114;AY158115;AY158116;AY158117;AY158118;AY158119;AY158120;AY158121;AY158122;AY158123;AY158124;AY158125;AY158126;AY158127;AY158128;AY158129;AY158130;AY158131;AY158132;AY158133;AY158134;AY158135;AY158136;AY158137;AY158138;AY158139;AY158140;AY158141;AY158142;M12996;M23423;	NP_000393.4 [P11413-3];NP_001035810.1 [P11413-1];		1QKI;2BH9;2BHL;5UKW;6E07;6E08;6JYU;6VA0;6VA7;6VA8;6VA9;6VAQ;7SEH;7SEI;7SNF;7SNG;7SNH;7SNI;7TOE;7TOF;7UAG;7UAL;7UC2;		P11413;	108814;					P11413;	P11413;	9606.ENSP00000377192;	P11413;	CHEMBL5347;	DB05107;DB11638;DB03085;DB03461;	P11413;										P11413;	rs137852340 rs78478128 rs76645461 rs137852315 rs1050828 rs137852349 rs138687036 rs782308266 rs267606835 rs1050829 rs78365220 rs137852341 rs137852313 rs137852314 rs137852331 rs5030872 rs267606836 rs782315572 rs5030868 rs137852330 rs137852332 rs137852332 rs782754619 rs137852326 rs137852319 rs137852328 rs137852328 rs137852318 rs74575103 rs137852327 rs137852339 rs137852347 rs76723693 rs5030869 rs137852342 rs137852333 rs137852329 rs137852322 rs137852320 rs137852334 rs137852321 rs137852316 rs137852335 rs1557229683 rs137852325 rs137852323 rs137852336 rs137852337 rs1557229599 rs137852317 rs398123546 rs137852324 rs72554665 rs72554665 rs72554664		P11413;	P11413;	P11413;		9606-ENSP00000377192;	P11413;	52771 [P11413-1];52772 [P11413-2];52773 [P11413-3];	ENST00000369620.6 [P11413-2];ENST00000393562.10 [P11413-1];ENST00000393564.7 [P11413-1];ENST00000696429.1 [P11413-1];ENST00000696430.1 [P11413-1];	2539;	hsa:2539;	2539;	G6PD;	HGNC:4057;	ENSG00000160211;	300908;305900;	NX_P11413;	466026;362;	PA28469;	KOG0563;	ENSGT00530000063435;	CLU_013524_2_3_1;	VEICVYE;	989808at2759;	P11413;	TF300584;	MetaCyc:HS08467-MONOMER;	1.1.1.49;	P11413;	R-HSA-5628897;R-HSA-71336;R-HSA-9818028;	P11413;	Glucose-6-phosphate_dehydrogenase;	ENSG00000160211;	P11413;			MF_00966;	IPR001282;IPR019796;IPR022675;IPR022674;IPR036291;	PTHR23429:SF0;PTHR23429;	PF02781;PF00479;	PIRSF000110;	PR00079;		PS00069;		SSF55347;SSF51735;
73	P11926	ODC1	9606	ALTERNATIVE PRODUCTS:  	UPI0000001283	CCDS1672.1;	M16650;M31061;X16277;M33764;M34158;M81740;X55362;AK292352;AK312766;AY841870;AC007249;CH471053;CH471053;BC025296;X53271;M20372;	NP_001274118.1;NP_001274119.1;NP_002530.1;		1D7K;2ON3;2OO0;4ZGY;5BWA;7S3F;7S3G;7U6P;7U6U;		P11926;	111007;	P11926;				P11926;		9606.ENSP00000234111;	P11926;	CHEMBL1869;	DB06243;DB04263;DB03856;DB04083;DB02824;DB01917;DB00114;DB02209;DB00203;DB00127;DB00313;	P11926;										P11926;			P11926;	P11926;			9606-ENSP00000234111;	P11926;	52813;	ENST00000234111.9;ENST00000405333.5;ENST00000443218.2;ENST00000699835.1;ENST00000699836.1;	4953;	hsa:4953;	4953;	ODC1;	HGNC:8109;	ENSG00000115758;	165640;619075;	NX_P11926;	544488;	PA31897;	KOG0622;	ENSGT00950000182995;	CLU_026444_1_1_1;	YCRSMAS;	48358at2759;	P11926;	TF300760;	MetaCyc:HS03935-MONOMER;	4.1.1.17;	P11926;	R-HSA-350562;R-HSA-351202;	P11926;	ODC1;	ENSG00000115758;	P11926;	cd00622;	DP02673;		IPR009006;IPR022643;IPR022657;IPR022644;IPR022653;IPR000183;IPR002433;IPR029066;	PTHR11482;PTHR11482:SF42;	PF02784;PF00278;		PR01179;PR01182;		PS00878;PS00879;		SSF50621;SSF51419;
74	P12268	IMPDH2	9606	ALTERNATIVE PRODUCTS:  	UPI000004A47A	CCDS2786.1;	J04208;L33842;L39210;BC006124;BC012840;BC015567;L08114;	NP_000875.2;		1B3O;1NF7;1NFB;6I0M;6I0O;6U8E;6U8N;6U8R;6U8S;6U9O;6UA2;6UA4;6UA5;6UAJ;6UC2;6UDO;6UDP;6UDQ;8FOZ;8FUZ;8G8F;8G9B;		P12268;	109828;					P12268;	P12268;	9606.ENSP00000321584;	P12268;	CHEMBL2002;	DB03948;DB00993;DB04566;DB01033;DB00688;DB01024;DB00157;DB00811;DB03070;DB06103;	P12268;										P12268;	rs121434586		P12268;	P12268;	P12268;		9606-ENSP00000321584;	P12268;	52839;	ENST00000326739.9;	3615;	hsa:3615;	3615;	IMPDH2;	HGNC:6053;	ENSG00000178035;	146691;617995;	NX_P12268;	98808;	PA29863;	KOG2550;	ENSGT00940000157726;			166969at2759;	P12268;	TF300378;	MetaCyc:HS11242-MONOMER;	1.1.1.205;	P12268;	R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787;	P12268;	IMPDH2;	ENSG00000178035;	P12268;	cd04601;cd00381;		MF_01964;	IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	PTHR11911:SF121;PTHR11911;	PF00571;PF00478;	PIRSF000130;			PS51371;PS00487;	SM00116;SM01240;	SSF51412;
75	P13716	ALAD	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P13716-1; Sequence=Displayed; Name=2; IsoId=P13716-2; Sequence=VSP_037866;	UPI0000037431	CCDS6794.2 [P13716-1];	M13928;X64467;S99468;S99471;AK290490;AK312552;AY319481;AL137066;BC000977;	NP_000022.3 [P13716-1];NP_001003945.1 [P13716-2];XP_011516666.1;		1E51;1PV8;5HMS;5HNR;		P13716;	106712;					P13716;		9606.ENSP00000386284;	P13716;	CHEMBL3126;	DB02878;DB04560;DB02260;DB04781;DB00855;DB02068;DB02239;DB02272;											P13716;	rs121912984 rs1800435 rs121912980 rs1554740221 rs121912982 rs121912983 rs121912981		P13716;	P13716;	P13716;		9606-ENSP00000386284;	P13716;	52973 [P13716-1];52974 [P13716-2];	ENST00000409155.8 [P13716-1];	210;	hsa:210;	210;	ALAD;	HGNC:395;	ENSG00000148218;	125270;612740;	NX_P13716;	100924;	PA24687;	KOG2794;	ENSGT00390000006998;	CLU_035731_0_1_1;	YQMDYAN;	2782182at2759;	P13716;	TF300665;	MetaCyc:HS07501-MONOMER;	4.2.1.24;	P13716;	R-HSA-189451;R-HSA-6798695;		ALAD;	ENSG00000148218;	P13716;	cd04824;			IPR001731;IPR030656;IPR013785;	PTHR11458;PTHR11458:SF0;	PF00490;	PIRSF001415;	PR00144;		PS00169;	SM01004;	SSF51569;
76	P13866	SLC5A1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P13866-1; Sequence=Displayed; Name=2; IsoId=P13866-2; Sequence=VSP_044782;	UPI00001359EA	CCDS13902.1 [P13866-1];CCDS58805.1 [P13866-2];	M24847;L29339;L29328;L29330;L29329;L29331;L29332;L29333;L29334;L29335;L29336;L29337;L29338;CR456579;AK297665;AK312948;AK316184;AL022321;Z74021;Z80998;Z83839;Z83849;CH471095;	NP_000334.1 [P13866-1];NP_001243243.1 [P13866-2];		7SL8;7SLA;7WMV;7YNI;		P13866;	112414;					P13866;		9606.ENSP00000266088;	P13866;	CHEMBL4979;	DB00766;DB01914;DB09341;DB12713;	P13866;								2.A.21.3.1;		P13866;	rs121912669 rs121912668 rs17683011 rs371505974 rs17683430 rs200406921		P13866;	P13866;	P13866;		9606-ENSP00000266088;	P13866;	52997 [P13866-1];6623;	ENST00000266088.9 [P13866-1];ENST00000543737.2 [P13866-2];	6523;	hsa:6523;	6523;	SLC5A1;	HGNC:11036;	ENSG00000100170;	182380;606824;	NX_P13866;	35710;	PA308;	KOG2349;	ENSGT00940000155844;	CLU_018808_9_2_1;	SECERYC;	74094at2759;	P13866;	TF352855;			P13866;	R-HSA-189200;R-HSA-5656364;R-HSA-8981373;	P13866;	SLC5A1;	ENSG00000100170;		cd11486;			IPR038377;IPR001734;IPR018212;	PTHR11819:SF151;PTHR11819;	PF00474;				PS00456;PS00457;PS50283;		
77	P14415	ATP1B2	9606	ALTERNATIVE PRODUCTS:  	UPI000013CCA2	CCDS32550.1;	M81181;U45945;AF007876;AK290143;CH471108;BC126175;	NP_001290192.1;NP_001669.3;				P14415;	106972;					P14415;		9606.ENSP00000250111;	P14415;	CHEMBL2095186;	DB09020;DB09479;DB16690;	P14415;										P14415;	rs34745087 rs2227866		P14415;	P14415;	P14415;		9606-ENSP00000250111;	P14415;	53052;	ENST00000250111.9;	482;	hsa:482;	482;	ATP1B2;	HGNC:805;	ENSG00000129244;	182331;	NX_P14415;		PA67;	KOG3927;	ENSGT01030000234579;	CLU_057702_1_1_1;	RTPKTWA;	2880589at2759;	P14415;	TF314618;			P14415;	R-HSA-210991;R-HSA-5578775;R-HSA-936837;R-HSA-9679191;			ENSG00000129244;	P14415;				IPR000402;IPR038702;	PTHR11523;PTHR11523:SF26;	PF00287;				PS00390;PS00391;		
78	P14550	AKR1A1	9606	ALTERNATIVE PRODUCTS:  	UPI000013D31D	CCDS523.1;	J04794;AF036683;AF036680;AF036681;AF036682;AF112485;AF112484;AK293083;CR457010;BT007003;AL355480;CH471059;CH471059;CH471059;CH471059;BC000670;BC005394;	NP_001189342.1;NP_001189343.1;NP_006057.1;NP_697021.1;		2ALR;		P14550;	115610;					P14550;	P14550;	9606.ENSP00000361140;	P14550;	CHEMBL2246;	DB08904;DB09130;DB00997;DB00898;DB06077;DB00157;DB03461;DB06207;DB02383;	P14550;										P14550;	rs2229540 rs6690497		P14550;	P14550;		P14550;	9606-ENSP00000361140;	P14550;	53058;	ENST00000351829.9;ENST00000372070.7;ENST00000621846.4;	10327;	hsa:10327;	10327;	AKR1A1;	HGNC:380;	ENSG00000117448;	103830;	NX_P14550;		PA24674;	KOG1577;	ENSGT00940000156539;	CLU_023205_0_0_1;	NAGAWKA;	890110at2759;	P14550;	TF106492;		1.1.1.2;	P14550;	R-HSA-156590;R-HSA-5661270;		Aldo-keto_reductase_family_1,_member_A1;	ENSG00000117448;	P14550;	cd19106;			IPR020471;IPR044481;IPR018170;IPR023210;IPR036812;	PTHR11732:SF507;PTHR11732;	PF00248;	PIRSF000097;	PR00069;		PS00798;PS00062;PS00063;		SSF51430;
79	P14555	PLA2G2A	9606	ALTERNATIVE PRODUCTS:  	UPI000002D1BF	CCDS201.1;	M22430;M22431;AY656695;CR456865;AY462114;AL358253;AK291302;CH471134;BC005919;	NP_000291.1;NP_001155199.1;NP_001155200.1;NP_001155201.1;		1AYP;1BBC;1DB4;1DB5;1DCY;1J1A;1KQU;1KVO;1N28;1N29;1POD;1POE;3U8B;3U8D;3U8H;3U8I;5G3N;		P14555;	111337;					P14555;		9606.ENSP00000383364;	P14555;	CHEMBL3474;	DB03121;DB04112;DB01955;DB02080;DB02936;DB03471;DB02504;DB00586;DB03784;DB01381;DB00328;DB04287;DB03017;DB02448;DB04786;DB05737;		SLP:000000653;									P14555;	rs11573162			P14555;			9606-ENSP00000383364;	P14555;	53059;	ENST00000375111.7;ENST00000400520.8;ENST00000482011.3;	5320;	hsa:5320;	5320;	PLA2G2A;	HGNC:9031;	ENSG00000188257;	172411;	NX_P14555;		PA270;	KOG4087;	ENSGT00940000155096;	CLU_090683_3_0_1;	GDQDYCK;	638584at2759;	P14555;	TF319283;		3.1.1.4;	P14555;	R-HSA-1482788;R-HSA-1482801;R-HSA-1482839;R-HSA-1482922;R-HSA-1482925;R-HSA-1483166;R-HSA-6803157;		PLA2G2A;	ENSG00000188257;	P14555;	cd00125;			IPR001211;IPR033112;IPR016090;IPR036444;IPR033113;	PTHR11716;PTHR11716:SF9;	PF00068;		PR00389;		PS00119;PS00118;	SM00085;	SSF48619;
