	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	EC number	Rhea ID	UniParc	Gene Ontology IDs	Chain	PubMed ID	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	GuidetoPHARMACOLOGY	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblMetazoa	EnsemblPlants	EnsemblProtists	GeneID	Gramene	KEGG	VectorBase	WBParaSite	ArachnoServer	CGD	ConoServer	CTD	dictyBase	EchoBASE	GeneCards	HGNC	HPA	MGI	MIM	neXtProt	Orphanet	PharmGKB	PomBase	RGD	SGD	TAIR	TubercuList	VGNC	WormBase	Xenbase	ZFIN	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	PROSITE	SMART	SUPFAM
147	P11413	G6PD	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=Short; IsoId=P11413-1; Sequence=Displayed; Name=Long; IsoId=P11413-2; Sequence=VSP_001592; Name=3; IsoId=P11413-3; Sequence=VSP_037802;	1.1.1.49	RHEA:15841	UPI0000061E0E	GO:0004345; GO:0005536; GO:0005737; GO:0005829; GO:0006006; GO:0006098; GO:0006629; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0016020; GO:0019322; GO:0021762; GO:0032094; GO:0034451; GO:0034599; GO:0042802; GO:0042803; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0061052; GO:0070062; GO:1904879; GO:2000378	"CHAIN 2..515; /note=""Glucose-6-phosphate 1-dehydrogenase""; /id=""PRO_0000068083"""	3515319; 2428611; 2836867; 1889820; 8733135; 15772651; 15489334; 2758468; 8466644; 1874446; 12665801; 1945893; 12524354; 3012556; 3126064; 6696761; 743300; 2910917; 7857286; 18669648; 19413330; 19608861; 21269460; 22431005; 22223895; 22814378; 23186163; 24769394; 29192674; 35122041; 10745013; 8364584; 11857737; 15858258; 3446582; 3393536; 2912069; 1611091; 1536798; 1303180; 1303182; 8490627; 8193373; 7959695; 7825590; 8533762; 7858267; 9452072; 10627140; 11112389; 18043863; 20007901; 26479991; 27535533; 29333274; 30988594	CCDS44023.1 [P11413-1];	X03674;M65234;M26749;M26750;M65225;M65226;M65227;M65228;M65229;M65230;M65231;M65233;M65232;M21248;M19866;X55448;L44140;AF277315;CH471172;CH471172;BC000337;M27940;S58359;X53815;S64462;AY158096;AY158097;AY158098;AY158099;AY158100;AY158101;AY158102;AY158103;AY158104;AY158105;AY158106;AY158107;AY158108;AY158109;AY158110;AY158111;AY158112;AY158113;AY158114;AY158115;AY158116;AY158117;AY158118;AY158119;AY158120;AY158121;AY158122;AY158123;AY158124;AY158125;AY158126;AY158127;AY158128;AY158129;AY158130;AY158131;AY158132;AY158133;AY158134;AY158135;AY158136;AY158137;AY158138;AY158139;AY158140;AY158141;AY158142;M12996;M23423;	NP_000393.4 [P11413-3];NP_001035810.1 [P11413-1];		1QKI;2BH9;2BHL;5UKW;6E07;6E08;6JYU;6VA0;6VA7;6VA8;6VA9;6VAQ;7SEH;7SEI;7SNF;7SNG;7SNH;7SNI;7TOE;7TOF;7UAG;7UAL;7UC2;7ZVD;	P11413;	P11413;	108814;					P11413;	P11413;	9606.ENSP00000377192;	P11413;	CHEMBL5347;	DB05107;DB11638;DB03085;DB03461;	P11413;											P11413;	rs137852340 rs78478128 rs76645461 rs137852315 rs1050828 rs137852349 rs138687036 rs782308266 rs267606835 rs1050829 rs78365220 rs137852341 rs137852313 rs137852314 rs137852331 rs5030872 rs267606836 rs782315572 rs5030868 rs137852330 rs137852332 rs137852332 rs782754619 rs137852326 rs137852319 rs137852328 rs137852328 rs137852318 rs74575103 rs137852327 rs137852339 rs137852347 rs76723693 rs5030869 rs137852342 rs137852333 rs137852329 rs137852322 rs137852320 rs137852334 rs137852321 rs137852316 rs137852335 rs1557229683 rs137852325 rs137852323 rs137852336 rs137852337 rs1557229599 rs137852317 rs398123546 rs137852324 rs72554665 rs72554665 rs72554664		P11413;	P11413;	P11413;		9606-ENSP00000377192;	P11413;	52771 [P11413-1];52772 [P11413-2];52773 [P11413-3];	ENST00000369620.6 [P11413-2];ENST00000393562.10 [P11413-1];ENST00000393564.7 [P11413-1];ENST00000696429.1 [P11413-1];ENST00000696430.1 [P11413-1];						2539;		hsa:2539;						2539;			G6PD;	HGNC:4057;	ENSG00000160211;		300908;305900;	NX_P11413;	466026;362;	PA28469;										KOG0563;	ENSGT00530000063435;	CLU_013524_2_3_1;	VEICVYE;	989808at2759;	P11413;	TF300584;	MetaCyc:HS08467-MONOMER;	1.1.1.49;	P11413;	R-HSA-5628897;R-HSA-71336;R-HSA-9818028;	P11413;	Glucose-6-phosphate_dehydrogenase;	ENSG00000160211;	P11413;			MF_00966;	IPR001282;IPR019796;IPR022675;IPR022674;IPR036291;	PTHR23429:SF0;PTHR23429;	PF02781;PF00479;	PIRSF000110;	PR00079;	PS00069;		SSF55347;SSF51735;
148	P11586	MTHFD1	9606	ALTERNATIVE PRODUCTS:  	1.5.1.5; 3.5.4.9; 6.3.4.3	RHEA:22812 RHEA:23700 RHEA:20221	UPI000013C6FA	GO:0000105; GO:0001780; GO:0001843; GO:0004329; GO:0004477; GO:0004486; GO:0004487; GO:0004488; GO:0005524; GO:0005739; GO:0005829; GO:0006164; GO:0006555; GO:0006730; GO:0007507; GO:0009069; GO:0009070; GO:0009086; GO:0009152; GO:0009257; GO:0016020; GO:0019346; GO:0035999; GO:0048702; GO:0048703; GO:0061053; GO:0070062	"CHAIN 1..935; /note=""C-1-tetrahydrofolate synthase, cytoplasmic""; /id=""PRO_0000423280""; CHAIN 2..935; /note=""C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed""; /id=""PRO_0000199321"""	3053686; 14702039; 12508121; 15489334; 12665801; 1881876; 14654843; 19413330; 21269460; 22223895; 22814378; 24275569; 25944712; 9519408; 10828945; 9611072; 12384833; 16552426; 17000706; 18767138; 21813566; 25633902; 27707659	CCDS9763.1;	J04031;AK312361;GQ891332;AL122035;CH471061;CH471061;BC001014;BC009806;BC050420;	NP_005947.3;		1A4I;1DIA;1DIB;1DIG;6ECP;6ECQ;6ECR;		P11586;	110622;			DIP-33682N;		P11586;	P11586;	9606.ENSP00000498336;	P11586;	CHEMBL2541;	DB04322;DB02358;DB00157;DB03461;DB00116;												P11586;	rs370444838 rs1555336810 rs1950902 rs4902283 rs141210410 rs771978838 rs34181110 rs2236225 rs10813 rs17857382		P11586;	P11586;	P11586;		9606-ENSP00000216605;	P11586;	32586;52794;	ENST00000651537.1;ENST00000652337.1;						4522;		hsa:4522;						4522;			MTHFD1;	HGNC:7432;	ENSG00000100714;		114500;172460;601634;617780;	NX_P11586;		PA31236;										KOG4230;	ENSGT00940000154746;	CLU_034045_3_0_1;	QPIMFRR;	651667at2759;	P11586;	TF300623;	MetaCyc:HS02138-MONOMER;	1.5.1.5;3.5.4.9;6.3.3.2;6.3.4.3;	P11586;	R-HSA-196757;	P11586;	MTHFD1;	ENSG00000100714;	P11586;	cd00477;cd01080;		MF_01543;MF_01576;	IPR046346;IPR000559;IPR020628;IPR036291;IPR027417;IPR000672;IPR020630;IPR020867;IPR020631;	PTHR48099:SF1;PTHR48099;	PF01268;PF00763;PF02882;		PR00085;	PS00721;PS00722;PS00766;PS00767;		SSF53223;SSF51735;SSF52540;
149	P11766	ADH5	9606	ALTERNATIVE PRODUCTS:  	1.1.1.-; 1.1.1.1; 1.1.1.284	RHEA:10736 RHEA:10740 RHEA:19981 RHEA:19985 RHEA:39803 RHEA:39799	UPI0000000DE6	GO:0001523; GO:0003016; GO:0004024; GO:0005504; GO:0005739; GO:0005829; GO:0006069; GO:0008270; GO:0009055; GO:0010430; GO:0018467; GO:0032496; GO:0042802; GO:0045777; GO:0046294; GO:0051409; GO:0051775; GO:0051903; GO:0070062; GO:0106321; GO:0106322	"CHAIN 2..374; /note=""Alcohol dehydrogenase class-3""; /id=""PRO_0000160759"""	2818582; 2679557; 1446828; 15489334; 3365377; 8494891; 8460164; 16081420; 19413330; 21269460; 23186163; 24275569; 9018047; 33355142	CCDS47111.1;	M30471;M29872;M81118;M81112;M81113;M81114;M81115;M81116;M81117;CR541689;BT019832;AY987960;BC014665;	NP_000662.3;		1M6H;1M6W;1MA0;1MC5;1MP0;1TEH;2FZE;2FZW;3QJ5;8GV3;		P11766;	106640;					P11766;	P11766;	9606.ENSP00000296412;	P11766;	CHEMBL4116;	DB03704;DB00898;DB01020;DB03017;DB00157;DB12612;DB11077;DB04153;			SLP:000000500;									P11766;	rs28730623 rs754853545 rs28730628 rs16996593		P11766;	P11766;			9606-ENSP00000296412;	P11766;	52803;	ENST00000296412.14;						128;		hsa:128;						128;			ADH5;	HGNC:253;	ENSG00000197894;		103710;619151;	NX_P11766;		PA24574;										KOG0022;	ENSGT00940000155196;	CLU_026673_14_0_1;	CLSQKTN;	1077476at2759;	P11766;	TF300429;	MetaCyc:HS10601-MONOMER;		P11766;	R-HSA-71384;		ADH5;	ENSG00000197894;	P11766;	cd08300;			IPR013149;IPR013154;IPR014183;IPR002328;IPR011032;IPR036291;	PTHR43880;PTHR43880:SF4;	PF08240;PF00107;			PS00059;		SSF50129;SSF51735;
150	P11802	CDK4	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P11802-1; Sequence=Displayed; Name=2; IsoId=P11802-2; Sequence=VSP_056487;	2.7.11.22	RHEA:17989 RHEA:46608	UPI0000113582	GO:0000082; GO:0000307; GO:0000785; GO:0004693; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0005737; GO:0005829; GO:0005923; GO:0006468; GO:0007165; GO:0008284; GO:0009410; GO:0010033; GO:0010389; GO:0010468; GO:0010971; GO:0016538; GO:0030332; GO:0031965; GO:0048146; GO:0051301; GO:0051726; GO:0060260; GO:0061469; GO:0071222; GO:0071353; GO:0097128; GO:0097129; GO:0097130; GO:0106310; GO:1904628; GO:1904637	"CHAIN 2..303; /note=""Cyclin-dependent kinase 4""; /id=""PRO_0000085778"""	9192850; 7652577; 8528263; 14702039; 16541075; 15489334; 2948189; 8221695; 9003781; 9106657; 10580009; 15107404; 15241418; 15558030; 16782892; 18827403; 19413330; 19124461; 19075005; 19487459; 19369195; 20399237; 21269460; 27353360; 29127155; 19237565; 19237555; 9311594; 9425228; 17344846	CCDS8953.1 [P11802-1];	M14505;U81031;Z48970;U37022;AF507942;AK297901;AK313701;CR407668;CR542247;AC025165;CH471054;BC003644;BC005864;BC010153;S67448;	NP_000066.1 [P11802-1];		2W96;2W99;2W9F;2W9Z;3G33;5FWK;5FWL;5FWM;5FWP;6P8E;6P8F;6P8G;6P8H;7SJ3;		P11802;	107454;	P11802;	CPX-2010;CPX-2011;CPX-2012;	DIP-875N;	P11802;	P11802;	P11802;	9606.ENSP00000257904;	P11802;	CHEMBL331;	DB12001;DB03496;DB12010;DB09073;DB02733;DB11730;DB15442;	P11802;	1976;										P11802;	rs11547328 rs104894340 rs144890720 rs3211612 rs34386532		P11802;	P11802;	P11802;		9606-ENSP00000257904;	P11802;	4694;52805 [P11802-1];	ENST00000257904.11 [P11802-1];						1019;		hsa:1019;						1019;			CDK4;	HGNC:1773;	ENSG00000135446;		123829;609048;	NX_P11802;	99970;618;99971;	PA102;										KOG0594;	ENSGT00940000154770;		TPNESEW;	244018at2759;	P11802;	TF101022;		2.7.11.22;	P11802;	R-HSA-187577;R-HSA-2559580;R-HSA-2559582;R-HSA-2559585;R-HSA-3214858;R-HSA-381340;R-HSA-69231;R-HSA-75815;R-HSA-8849470;R-HSA-8878166;R-HSA-912446;R-HSA-9616222;R-HSA-9630791;R-HSA-9630794;R-HSA-9632697;R-HSA-9632700;R-HSA-9661069;R-HSA-9754119;	P11802;	Cyclin-dependent_kinase_4;	ENSG00000135446;	P11802;				IPR011009;IPR000719;IPR017441;IPR008271;	PTHR24056;PTHR24056:SF129;	PF00069;			PS00107;PS50011;PS00108;	SM00220;	SSF56112;
151	P11908	PRPS2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=P11908-1; Sequence=Displayed; Name=2; IsoId=P11908-2; Sequence=VSP_027769;	2.7.6.1	RHEA:15609	UPI000000D98E	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0005829; GO:0006015; GO:0006098; GO:0006139; GO:0006164; GO:0009156; GO:0016301; GO:0016310; GO:0042802; GO:0042803	"CHAIN 2..318; /note=""Ribose-phosphate pyrophosphokinase 2""; /id=""PRO_0000141074"""	2538352; 2560337; 15489334; 1314091; 21269460	CCDS14150.1 [P11908-1];CCDS43918.1 [P11908-2];	Y00971;BC030019;BC040483;BC110875;BC119662;BC119663;D28134;	NP_001034180.1 [P11908-2];NP_002756.1 [P11908-1];		7YK1;		P11908;	111617;					P11908;	P11908;	9606.ENSP00000381504;															P11908;			P11908;	P11908;	P11908;		9606-ENSP00000381504;	P11908;	52809 [P11908-1];52810 [P11908-2];	ENST00000380668.10 [P11908-1];ENST00000398491.6 [P11908-2];						5634;		hsa:5634;						5634;			PRPS2;	HGNC:9465;	ENSG00000101911;		311860;	NX_P11908;		PA33820;										KOG1448;	ENSGT00950000182803;	CLU_033546_4_0_1;	EVHAYAT;	276387at2759;	P11908;	TF106366;	MetaCyc:HS02317-MONOMER;		P11908;	R-HSA-73843;	P11908;		ENSG00000101911;	P11908;	cd06223;		MF_00583_B;	IPR000842;IPR029099;IPR000836;IPR029057;IPR005946;IPR037515;	PTHR10210;PTHR10210:SF110;	PF14572;PF13793;			PS00114;	SM01400;	SSF53271;
152	P11926	ODC1	9606	ALTERNATIVE PRODUCTS:  	4.1.1.17	RHEA:22964	UPI0000001283	GO:0001822; GO:0004586; GO:0005737; GO:0005829; GO:0006595; GO:0008283; GO:0008284; GO:0009615; GO:0033387; GO:0042176; GO:0042803	"CHAIN 1..461; /note=""Ornithine decarboxylase""; /id=""PRO_0000149891"""	3595418; 2693021; 2587220; 2227439; 2318872; 1598217; 8519686; 14702039; 15815621; 15489334; 2317811; 3308908; 10462479; 11461922; 16548883; 17900240; 10623504; 17407445; 26305948; 26443277; 30239107; 30475435	CCDS1672.1;	M16650;M31061;X16277;M33764;M34158;M81740;X55362;AK292352;AK312766;AY841870;AC007249;CH471053;CH471053;BC025296;X53271;M20372;	NP_001274118.1;NP_001274119.1;NP_002530.1;		1D7K;2ON3;2OO0;4ZGY;5BWA;7S3F;7S3G;7U6P;7U6U;		P11926;	111007;	P11926;				P11926;	P11926;	9606.ENSP00000234111;	P11926;	CHEMBL1869;	DB06243;DB04263;DB03856;DB04083;DB02824;DB01917;DB00114;DB02209;DB00203;DB00127;DB00313;	P11926;	1276;										P11926;			P11926;	P11926;			9606-ENSP00000234111;	P11926;	52813;	ENST00000234111.9;ENST00000405333.5;ENST00000443218.2;ENST00000699835.1;ENST00000699836.1;						4953;		hsa:4953;						4953;			ODC1;	HGNC:8109;	ENSG00000115758;		165640;619075;	NX_P11926;	544488;	PA31897;										KOG0622;	ENSGT00950000182995;	CLU_026444_1_1_1;	YCRSMAS;	48358at2759;	P11926;	TF300760;	MetaCyc:HS03935-MONOMER;	4.1.1.17;	P11926;	R-HSA-350562;R-HSA-351202;	P11926;	ODC1;	ENSG00000115758;	P11926;	cd00622;	DP02673;		IPR009006;IPR022643;IPR022657;IPR022644;IPR022653;IPR000183;IPR002433;IPR029066;	PTHR11482;PTHR11482:SF42;	PF02784;PF00278;		PR01179;PR01182;	PS00878;PS00879;		SSF50621;SSF51419;
153	P12081	HARS1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=4; Name=1; IsoId=P12081-1; Sequence=Displayed; Name=2; IsoId=P12081-2; Sequence=VSP_045118; Name=3; IsoId=P12081-3; Sequence=VSP_045118, VSP_046662; Name=4; IsoId=P12081-4; Sequence=VSP_046662;	6.1.1.21	RHEA:17313	UPI00001364CE	GO:0003723; GO:0004821; GO:0005524; GO:0005737; GO:0005739; GO:0005829; GO:0006412; GO:0006418; GO:0006427; GO:0032543; GO:0042802; GO:0042803	"CHAIN 2..509; /note=""Histidine--tRNA ligase, cytoplasmic""; /id=""PRO_0000136332"""	1549469; 3554142; 14702039; 15372022; 15489334; 8406012; 7755634; 19413330; 21269460; 22930593; 24275569; 26072516; 25151410; 22279524; 29235198	CCDS4237.1 [P12081-1];CCDS58976.1 [P12081-2];CCDS58977.1 [P12081-3];CCDS58978.1 [P12081-4];	Z11518;X05345;AK295219;AK302295;AK225776;AC116353;BC011807;BC080514;M96646;U18936;	NP_001244969.1 [P12081-2];NP_001244970.1 [P12081-4];NP_001244971.1 [P12081-3];NP_002100.2 [P12081-1];		1X59;2LW7;4G84;4G85;4PHC;4X5O;5W6M;6O76;		P12081;	109285;			DIP-37596N;		P12081;	P12081;	9606.ENSP00000425634;	P12081;	CHEMBL4002;	DB00117;												P12081;	rs78741041 rs143473232 rs863225122 rs191391414 rs1239341211 rs863225123 rs147288996 rs536175170 rs1554106881 rs144322728 rs863225124 rs139447495 rs34732372 rs387906639 rs747156884		P12081;	P12081;	P12081;		9606-ENSP00000425634;	P12081;	14349;52824 [P12081-1];5502;	ENST00000307633.7 [P12081-3];ENST00000438307.6 [P12081-2];ENST00000457527.6 [P12081-4];ENST00000504156.7 [P12081-1];						3035;		hsa:3035;						3035;			HARS1;	HGNC:4816;	ENSG00000170445;		142810;614504;616625;	NX_P12081;	488333;231183;	PA29191;										KOG1936;	ENSGT00390000005922;		EMYSFED;	5476704at2759;	P12081;	TF300652;		6.1.1.21;	P12081;	R-HSA-379716;	P12081;	HARS;	ENSG00000170445;	P12081;	cd00773;cd00859;cd00938;	DP01668;	MF_00127;	IPR006195;IPR045864;IPR004154;IPR036621;IPR015807;IPR041715;IPR004516;IPR033656;IPR009068;IPR000738;	PTHR11476:SF8;PTHR11476;	PF03129;PF13393;PF00458;	PIRSF001549;		PS50862;PS00762;PS51185;	SM00991;	SSF52954;SSF55681;SSF47060;
154	P12235	SLC25A4	9606	ALTERNATIVE PRODUCTS:  		RHEA:34999 RHEA:34979	UPI0000125612	GO:0000002; GO:0005471; GO:0005739; GO:0005743; GO:0005757; GO:0005886; GO:0006091; GO:0008637; GO:0015078; GO:0015207; GO:0015866; GO:0016020; GO:0017077; GO:0031966; GO:0046902; GO:0060546; GO:0140021; GO:1901029; GO:1901526; GO:1990544; GO:1990845	"CHAIN 2..298; /note=""ADP/ATP translocase 1""; /id=""PRO_0000090574"""	2823266; 2541251; 2547778; 20843780; 15489334; 2829183; 16120388; 19608861; 21269460; 21586654; 22187496; 25944712; 27693233; 27641616; 31883789; 10926541; 11756613; 12112115; 12707443; 16155110; 15792871; 18575922; 25732997	CCDS34114.1;	J02966;J04982;HQ206346;HQ206347;HQ206348;HQ206349;HQ206350;HQ206351;HQ206352;HQ206353;HQ206354;HQ206355;HQ206356;HQ206357;HQ206358;HQ206359;HQ206360;HQ206361;HQ206362;HQ206363;HQ206364;HQ206365;HQ206366;HQ206367;HQ206368;HQ206369;HQ206370;HQ206371;HQ206372;HQ206373;HQ206374;HQ206375;HQ206376;HQ206377;HQ206378;HQ206379;HQ206380;HQ206381;HQ206382;HQ206383;HQ206384;HQ206385;CH471056;CH471056;BC008664;BC061589;BC063643;J03593;	NP_001142.2;				P12235;	106788;			DIP-33116N;		P12235;	P12235;	9606.ENSP00000281456;			DB01736;DB00171;DB02426;DB00720;DB04178;DB01077;DB03429;	P12235;									2.A.29.1.2;		P12235;	rs886041081 rs104893876 rs28999114 rs104893873 rs121912683 rs886041082 rs770816416 rs104893874		P12235;	P12235;	P12235;		9606-ENSP00000281456;	P12235;	52836;	ENST00000281456.11;						291;		hsa:291;						291;			SLC25A4;	HGNC:10990;	ENSG00000151729;		103220;609283;615418;617184;	NX_P12235;	254892;1369;	PA35866;										KOG0749;	ENSGT00940000154622;		YDGIVEC;	1330359at2759;	P12235;	TF300743;			P12235;	R-HSA-1268020;R-HSA-180897;R-HSA-83936;	P12235;	SLC25A4;	ENSG00000151729;	P12235;				IPR002113;IPR002067;IPR018108;IPR023395;	PTHR45635;PTHR45635:SF32;	PF00153;		PR00927;PR00926;	PS50920;		SSF103506;
155	P12236	SLC25A6	9606	ALTERNATIVE PRODUCTS:  		RHEA:34999 RHEA:34979	UPI00000015FE	GO:0005471; GO:0005634; GO:0005739; GO:0005743; GO:0005744; GO:0006915; GO:0016020; GO:0140021; GO:1901029; GO:1990544	"CHAIN 1..298; /note=""ADP/ATP translocase 3""; /id=""PRO_0000425781""; CHAIN 2..298; /note=""ADP/ATP translocase 3, N-terminally processed""; /id=""PRO_0000090584"""	2541251; 15489334; 2829183; 8486369; 15033708; 14654843; 16120388; 16201016; 18691976; 19413330; 19608861; 21269460; 22223895; 24129315; 25944712; 27641616; 31213526; 31341297	CCDS14114.1;	AY007135;BC007295;BC007850;BC008737;BC008935;BC014775;BC031912;J03592;	NP_001627.2;				P12236;	106790;					P12236;	P12236;	9606.ENSP00000370808;		CHEMBL4105854;	DB00720;DB01077;	P12236;									2.A.29.1.10;		P12236;			P12236;	P12236;			9606-ENSP00000370808;	P12236;	52837;	ENST00000381401.11;ENST00000711214.1;						293;		hsa:293;						293;			SLC25A6;	HGNC:10992;	ENSG00000169100;		300151;403000;	NX_P12236;		PA35868;										KOG0749;	ENSGT00940000162883;	CLU_015166_12_0_1;	FSGVCAY;	1330359at2759;	P12236;	TF300743;			P12236;	R-HSA-1268020;R-HSA-168277;R-HSA-180897;R-HSA-83936;		SLC25A6;	ENSG00000169100;	P12236;				IPR002113;IPR002067;IPR018108;IPR023395;	PTHR45635;PTHR45635:SF13;	PF00153;		PR00927;PR00926;	PS50920;		SSF103506;
156	P12268	IMPDH2	9606	ALTERNATIVE PRODUCTS:  	1.1.1.205	RHEA:11708	UPI000004A47A	GO:0000166; GO:0003677; GO:0003723; GO:0003938; GO:0005576; GO:0005634; GO:0005737; GO:0005778; GO:0005829; GO:0006177; GO:0006183; GO:0007623; GO:0016020; GO:0034774; GO:0046651; GO:0046872; GO:0070062; GO:0071353; GO:0097294; GO:1904813	"CHAIN 2..514; /note=""Inosine-5'-monophosphate dehydrogenase 2""; /id=""PRO_0000093673"""	2902093; 1969416; 7999076; 7896827; 15489334; 8098009; 7903306; 7763314; 14654843; 14766016; 15592455; 17081983; 17496727; 18669648; 19413330; 19608861; 20068231; 21269460; 23186163; 24275569; 25944712; 28985504; 24477477; 30293565; 31337707; 28112733; 10097070	CCDS2786.1;	J04208;L33842;L39210;BC006124;BC012840;BC015567;L08114;	NP_000875.2;		1B3O;1NF7;1NFB;6I0M;6I0O;6U8E;6U8N;6U8R;6U8S;6U9O;6UA2;6UA4;6UA5;6UAJ;6UC2;6UDO;6UDP;6UDQ;8FOZ;8FUZ;8G8F;8G9B;		P12268;	109828;					P12268;	P12268;	9606.ENSP00000321584;	P12268;	CHEMBL2002;	DB03948;DB00993;DB04566;DB01033;DB00688;DB01024;DB00157;DB00811;DB03070;DB06103;	P12268;	2625;										P12268;	rs121434586		P12268;	P12268;	P12268;		9606-ENSP00000321584;	P12268;	52839;	ENST00000326739.9;						3615;		hsa:3615;						3615;			IMPDH2;	HGNC:6053;	ENSG00000178035;		146691;617995;	NX_P12268;	98808;	PA29863;										KOG2550;	ENSGT00940000157726;			166969at2759;	P12268;	TF300378;	MetaCyc:HS11242-MONOMER;	1.1.1.205;	P12268;	R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787;	P12268;	IMPDH2;	ENSG00000178035;	P12268;	cd04601;cd00381;		MF_01964;	IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	PTHR11911:SF121;PTHR11911;	PF00571;PF00478;	PIRSF000130;		PS51371;PS00487;	SM00116;SM01240;	SSF51412;
157	P12277	CKB	9606	ALTERNATIVE PRODUCTS:  	2.7.3.2	RHEA:17157	UPI000012DCBA	GO:0004111; GO:0005524; GO:0005615; GO:0005739; GO:0005829; GO:0005886; GO:0016310; GO:0021762; GO:0031625; GO:0046314; GO:0070062; GO:0140651	"CHAIN 2..381; /note=""Creatine kinase B-type""; /id=""PRO_0000211966"""	3034271; 3692484; 2883200; 2771648; 14702039; 15489334; 2828370; 7637327; 8186255; 18669648; 20068231; 21269460; 22905912; 23186163; 18977227; 18566107	CCDS9981.1;	M16451;M21243;M21237;M21238;M21239;M21240;M21241;M21242;L47647;M16364;X15334;AK290101;AK312282;CR542268;DQ333313;CH471061;BC001190;BC004914;BC008323;BC010002;BC019259;BC019281;M22356;M22355;	NP_001814.2;		3B6R;3DRB;3DRE;6V9H;7BF1;7TUN;		P12277;	107572;	P12277;		DIP-52968N;		P12277;	P12277;	9606.ENSP00000299198;		CHEMBL6049;	DB00787;DB00148;DB13749;DB13191;DB00300;												P12277;	rs36002620 rs35156510 rs12505		P12277;	P12277;			9606-ENSP00000299198;	P12277;	52846;	ENST00000348956.7;						1152;		hsa:1152;						1152;			CKB;	HGNC:1991;	ENSG00000166165;		123280;	NX_P12277;		PA26528;										KOG3581;	ENSGT00950000182772;	CLU_019868_4_2_1;	NRGHEFM;	35839at2759;	P12277;	TF314214;	MetaCyc:HS09344-MONOMER;	2.7.3.2;	P12277;	R-HSA-71288;R-HSA-9696264;	P12277;	CKB_(gene);	ENSG00000166165;	P12277;	cd00716;			IPR000749;IPR022415;IPR022414;IPR022413;IPR036802;IPR014746;	PTHR11547;PTHR11547:SF23;	PF00217;PF02807;			PS00112;PS51510;PS51509;		SSF55931;SSF48034;
