	genes	mim	type	ncbigene	hgnc.symbol	ensembl	chromosome	phenotypes	mgi
394	ALDH1A1	100640	gene	216	ALDH1A1	ENSG00000165092	chr9		MGI:1347050;MGI:1353450
392	ALDH1A2	603687	gene	8854	ALDH1A2	ENSG00000128918	chr15	Diaphragmatic hernia 4, with cardiovascular defects, 620025 (3)	MGI:107928
393	ALDH1A2	620025	phenotype						
390	ALDH3A1	100660	gene	218	ALDH3A1	ENSG00000108602	chr17		MGI:1353451
391	ALDH9A1	602733	gene	223	ALDH9A1	ENSG00000143149	chr1		MGI:1861622
502	ALDOA	103850	gene	226	ALDOA	ENSG00000149925	chr16	Glycogen storage disease XII, 611881 (3)	MGI:87994
503	ALDOA	611881	phenotype						
504	ALDOC	103870	gene	230	ALDOC	ENSG00000109107	chr17		MGI:101863
349	AMD1	180980	gene	262	AMD1	ENSG00000123505	chr6		MGI:1333111;MGI:88004
373	AMDHD2								
395	AMPD3	102772	gene	272	AMPD3	ENSG00000133805	chr11	[AMP deaminase deficiency, erythrocytic], 612874 (3)	MGI:1096344
396	AMPD3	612874	phenotype						
314	AOX1	602841	gene	316	AOX1	ENSG00000138356	chr2		MGI:88035
371	APRT	102600	gene	353	APRT	ENSG00000198931	chr16	Adenine phosphoribosyltransferase deficiency, 614723 (3)	MGI:88061
372	APRT	614723	phenotype						
400	ARG1	608313	gene	383	ARG1	ENSG00000118520	chr6	Argininemia, 207800 (3)	MGI:88070
399	ARG1	207800	phenotype						
541	ATP1A1	182310	gene	476	ATP1A1	ENSG00000163399	chr1	Charcot-Marie-Tooth disease, axonal, type 2DD, 618036 (3)	MGI:88105
542	ATP1A1	182310	gene	476	ATP1A1	ENSG00000163399	chr1	Hypomagnesemia, seizures, and impaired intellectual development 2, 618314 (3)	MGI:88105
543	ATP1A1	618036	phenotype						
544	ATP1A1	618314	phenotype						
537	ATP1B1	182330	gene	481	ATP1B1	ENSG00000143153	chr1	[Blood pressure regulation QTL], 145500 (2)	MGI:88108
539	ATP1B2	182331	gene	482	ATP1B2	ENSG00000129244	chr17		MGI:88109
538	ATP1B3	601867	gene	483	ATP1B3	ENSG00000069849	chr3		MGI:107788
540	ATP1B4	301073	gene	23439	ATP1B4	ENSG00000101892	chrX		MGI:1915071
428	ATP2B1	108731	gene	490	ATP2B1	ENSG00000070961	chr12	Intellectual developmental disorder, autosomal dominant 66, 619910 (3)	MGI:104653
429	ATP2B1	619910	phenotype						
430	ATP2B4	108732	gene	493	ATP2B4	ENSG00000058668	chr1		MGI:88111
416	BLVRA	109750	gene	644	BLVRA	ENSG00000106605	chr7	Hyperbiliverdinemia, 614156 (3)	MGI:88170
417	BLVRA	614156	phenotype						
489	BPGM	613896	gene	669	BPGM	ENSG00000172331	chr7	Erythrocytosis, familial, 8, 222800 (3)	MGI:1098242
488	BPGM	222800	phenotype						
112	CA1	114800	gene	759	CA1	ENSG00000133742	chr8		MGI:88268
111	CA2	611492	gene	760	CA2	ENSG00000104267	chr8	Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, 259730 (3)	MGI:88269
110	CA2	259730	phenotype						
113	CA3	114750	gene	761	CA3	ENSG00000164879	chr8		MGI:88270
432	CAT	115500	gene	847	CAT	ENSG00000121691	chr11	Acatalasemia, 614097 (3)	MGI:88271
433	CAT	614097	phenotype						
434	CDIPT	605893	gene	10423	CDIPT	ENSG00000103502	chr16		MGI:105491
435	CDS1	603548	gene	1040	CDS1	ENSG00000163624	chr4		MGI:1921846
321	CEPT1	616751	gene	10390	CEPT1	ENSG00000134255	chr1		MGI:2139793
443	CHKA	118491	gene	1119	CHKA	ENSG00000110721	chr11	Neurodevelopmental disorder with microcephaly, movement abnormalities, and seizures, 620023 (3)	MGI:107760
444	CHKA	620023	phenotype						
442	CHKB	612395	gene	1120	CHKB	ENSG00000100288	chr22	Muscular dystrophy, congenital, megaconial type, 602541 (3)	MGI:1328313
441	CHKB	602541	phenotype						
436	CHPT1	616747	gene	56994	CHPT1	ENSG00000111666	chr12		MGI:2384841
172	CLC	153310	gene	1178	CLC	ENSG00000105205	chr19		
454	CMPK1	191710	gene	51727	CMPK1	ENSG00000162368	chr1		MGI:1913838
483	COMT	116790	gene/phenotype	1312	COMT	ENSG00000093010	chr22	{Panic disorder, susceptibility to}, 167870 (3)	MGI:88470
484	COMT	116790	gene/phenotype	1312	COMT	ENSG00000093010	chr22	{Schizophrenia, susceptibility to}, 181500 (3)	MGI:88470
482	COMT	103780	phenotype						
485	COMT	181500	phenotype						
4	COMTD1								
450	CPOX	612732	gene	1371	CPOX	ENSG00000080819	chr3	Coproporphyria, 121300 (3)	MGI:104841
451	CPOX	612732	gene	1371	CPOX	ENSG00000080819	chr3	Harderoporphyria, 618892 (3)	MGI:104841
449	CPOX	121300	phenotype						
452	CPOX	618892	phenotype						
419	CPT1A	600528	gene	1374	CPT1A	ENSG00000110090	chr11	CPT deficiency, hepatic, type IA, 255120 (3)	MGI:1098296
418	CPT1A	255120	phenotype						
422	CPT2	600650	gene	1376	CPT2	ENSG00000157184	chr1	CPT II deficiency, infantile, 600649 (3)	MGI:109176
423	CPT2	600650	gene	1376	CPT2	ENSG00000157184	chr1	CPT II deficiency, lethal neonatal, 608836 (3)	MGI:109176
424	CPT2	600650	gene	1376	CPT2	ENSG00000157184	chr1	CPT II deficiency, myopathic, stress-induced, 255110 (3)	MGI:109176
425	CPT2	600650	gene	1376	CPT2	ENSG00000157184	chr1	{Encephalopathy, acute, infection-induced, 4, susceptibility to}, 614212 (3)	MGI:109176
420	CPT2	255110	phenotype						
421	CPT2	600649	phenotype						
426	CPT2	608836	phenotype						
427	CPT2	614212	phenotype						
334	CRYL1	609877	gene	51084	CRYL1	ENSG00000165475	chr13		MGI:1915881
42	DCXR	608347	gene	51181	DCXR	ENSG00000169738	chr17	[Pentosuria], 260800 (3)	MGI:1915130
41	DCXR	260800	phenotype						
468	DGKA	125855	gene	1606	DGKA	ENSG00000065357	chr12		MGI:102952
469	DGKB	604070	gene	1607	DGKB	ENSG00000136267	chr7		MGI:2442474
471	DGKD	601826	gene	8527	DGKD	ENSG00000077044	chr2		MGI:2138334
465	DGKE	601440	gene	8526	DGKE	ENSG00000153933	chr17	Nephrotic syndrome, type 7, 615008 (3)	MGI:1889276
466	DGKE	601440	gene	8526	DGKE	ENSG00000153933	chr17	{Hemolytic uremic syndrome, atypical, susceptibility to, 7}, 615008 (3)	MGI:1889276
467	DGKE	615008	phenotype						
461	DGKG	601854	gene	1608	DGKG	ENSG00000058866	chr3		MGI:105060
463	DGKH	604071	gene	160851	DGKH	ENSG00000102780	chr13		MGI:2444188
470	DGKI	604072	gene	9162	DGKI	ENSG00000157680	chr7		MGI:2443430
462	DGKQ	601207	gene	1609	DGKQ	ENSG00000145214	chr4		MGI:102918
464	DGKZ	601441	gene	8525	DGKZ	ENSG00000149091	chr11		MGI:1278339
490	ENO1	172430	gene	2023	ENO1	ENSG00000074800	chr1		MGI:3648653;MGI:95393
19	ENOPH1								
493	ENPP1	173335	gene	5167	ENPP1	ENSG00000197594	chr6	Arterial calcification, generalized, of infancy, 1, 208000 (3)	MGI:97370
494	ENPP1	173335	gene	5167	ENPP1	ENSG00000197594	chr6	Cole disease, 615522 (3)	MGI:97370
495	ENPP1	173335	gene	5167	ENPP1	ENSG00000197594	chr6	Hypophosphatemic rickets, autosomal recessive, 2, 613312 (3)	MGI:97370
496	ENPP1	173335	gene	5167	ENPP1	ENSG00000197594	chr6	{Diabetes mellitus, non-insulin-dependent, susceptibility to}, 125853 (3)	MGI:97370
497	ENPP1	173335	gene	5167	ENPP1	ENSG00000197594	chr6	{Obesity, susceptibility to}, 601665 (3)	MGI:97370
492	ENPP1	125853	phenotype						
498	ENPP1	208000	phenotype						
499	ENPP1	602475	phenotype	7933					
500	ENPP1	613312	phenotype						
501	ENPP1	615522	phenotype						
322	ETNK1	609858	gene	55500	ETNK1	ENSG00000139163	chr12		MGI:1922570
323	ETNK2	609859	gene	55224	ETNK2	ENSG00000143845	chr1		MGI:2443760
506	FBP1	611570	gene	2203	FBP1	ENSG00000165140	chr9	Fructose-1,6-bisphosphatase deficiency, 229700 (3)	MGI:95492
505	FBP1	229700	phenotype						
509	FBP2	603027	gene	8789	FBP2	ENSG00000130957	chr9	?Leukodystrophy, childhood-onset, remitting, 619864 (3)	MGI:95491
510	FBP2	619864	phenotype						
514	FECH	612386	gene	2235	FECH	ENSG00000066926	chr18	Protoporphyria, erythropoietic, 1, 177000 (3)	MGI:95513
513	FECH	177000	phenotype						
524	FH	136850	gene	2271	FH	ENSG00000091483	chr1	Fumarase deficiency, 606812 (3)	MGI:95530
525	FH	136850	gene	2271	FH	ENSG00000091483	chr1	Leiomyomatosis and renal cell cancer, 150800 (3)	MGI:95530
526	FH	150800	phenotype						
527	FH	606812	phenotype						
516	FLAD1	610595	gene	80308	FLAD1	ENSG00000160688	chr1	Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency, 255100 (3)	MGI:2443030
515	FLAD1	255100	phenotype						
28	G6PD	305900	gene	2539	G6PD	ENSG00000160211	chrX	Hemolytic anemia, G6PD deficient (favism), 300908 (3)	MGI:105977;MGI:105979
29	G6PD	305900	gene	2539	G6PD	ENSG00000160211	chrX	{Resistance to malaria due to G6PD deficiency}, 611162 (3)	MGI:105977;MGI:105979
27	G6PD	300908	phenotype						
24	GALE	606953	gene	2582	GALE	ENSG00000117308	chr1	Galactose epimerase deficiency, 230350 (3)	MGI:1921496
23	GALE	230350	phenotype						
31	GALK1	604313	gene	2584	GALK1	ENSG00000108479	chr17	Galactokinase deficiency with cataracts, 230200 (3)	MGI:95730
30	GALK1	230200	phenotype						
45	GALT	606999	gene	2592	GALT	ENSG00000213930	chr9	Galactosemia, 230400 (3)	MGI:95638
44	GALT	230400	phenotype						
52	GAPDH	138400	gene	2597	GAPDH	ENSG00000111640	chr12		MGI:3708786;MGI:3782011;MGI:5434255;MGI:95640
58	GCLC	606857	gene	2729	GCLC	ENSG00000001084	chr6	Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency, 230450 (3)	MGI:104990
59	GCLC	606857	gene	2729	GCLC	ENSG00000001084	chr6	{Myocardial infarction, susceptibility to}, 608446 (3)	MGI:104990
57	GCLC	230450	phenotype						
60	GCLM	601176	gene	2730	GCLM	ENSG00000023909	chr1	{Myocardial infarction, susceptibility to}, 608446 (3)	MGI:104995
53	GGCT	137170	gene	79017	GGCT	ENSG00000006625	chr7		MGI:95700
63	GK	300474	gene	2710	GK	ENSG00000198814	chrX	Glycerol kinase deficiency, 307030 (3)	MGI:106594;MGI:891990
64	GK	307030	phenotype						
61	GK2	600148	gene	2712	GK2	ENSG00000196475	chr4		MGI:1329027
62	GK3	600149	predominantly phenotypes	2713	GK3	ENSG00000229894			
169	GLO1	138750	gene	2739	GLO1	ENSG00000124767	chr6		MGI:95742
55	GLUL	138290	gene	2752	GLUL	ENSG00000135821	chr1	Glutamine deficiency, congenital, 610015 (3)	MGI:95739
56	GLUL	610015	phenotype						
68	GMPR	139265	gene	2766	GMPR	ENSG00000137198	chr6		MGI:1913605
69	GMPS	600358	gene	8833	GMPS	ENSG00000163655	chr3		MGI:2448526
20	GNPDA1	601798	gene	10007	GNPDA1	ENSG00000113552	chr5		MGI:1347054
259	GOT1	138180	gene	2805	GOT1	ENSG00000120053	chr10	Aspartate aminotransferase, serum level of, QTL1, 614419 (3)	MGI:95791
260	GOT1	614419	phenotype						
71	GPAM	602395	gene	57678	GPAM	ENSG00000119927	chr10		MGI:109162
380	GPAT4	608143	gene	137964	GPAT4	ENSG00000158669	chr8		MGI:2142716
254	GPI	172400	gene	2821	GPI	ENSG00000105220	chr19	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency, 613470 (3)	MGI:95797
255	GPI	613470	phenotype						
75	GPX1	138320	gene	2876	GPX1	ENSG00000233276	chr3	Hemolytic anemia due to glutathione peroxidase deficiency, 614164 (1)	MGI:104887
77	GPX4	138322	gene	2879	GPX4	ENSG00000167468	chr19	Spondylometaphyseal dysplasia, Sedaghatian type, 250220 (3)	MGI:104767
78	GPX4	250220	phenotype						
72	GSR	138300	gene	2936	GSR	ENSG00000104687	chr8	Hemolytic anemia due to glutathione reductase deficiency, 618660 (3)	MGI:95804
73	GSR	618660	phenotype						
81	GSS	601002	gene	2937	GSS	ENSG00000100983	chr20	Glutathione synthetase deficiency, 266130 (3)	MGI:95852
82	GSS	601002	gene	2937	GSS	ENSG00000100983	chr20	Hemolytic anemia due to glutathione synthetase deficiency, 231900 (3)	MGI:95852
79	GSS	231900	phenotype						
80	GSS	266130	phenotype						
529	GUCY1A1	139396	gene	2982	GUCY1A1	ENSG00000164116	chr4	Moyamoya 6 with achalasia, 615750 (3)	MGI:1926562
530	GUCY1A1	615750	phenotype						
532	GUCY1A2	601244	gene	2977	GUCY1A2	ENSG00000152402	chr11		MGI:2660877
528	GUCY1B1	139397	gene	2983	GUCY1B1	ENSG00000061918	chr4		MGI:1860604
531	GUCY1B2	603695	gene	2974	GUCY1B2	ENSG00000123201	chr13		
85	GUCY2C	601330	gene	2984	GUCY2C	ENSG00000070019	chr12	Diarrhea 6, 614616 (3)	MGI:106903
86	GUCY2C	601330	gene	2984	GUCY2C	ENSG00000070019	chr12	Meconium ileus, 614665 (3)	MGI:106903
87	GUCY2C	614616	phenotype						
88	GUCY2C	614665	phenotype						
98	GUCY2D	600179	gene	3000	GUCY2D	ENSG00000132518	chr17	?Choroidal dystrophy, central areolar 1, 215500 (3)	MGI:105123
99	GUCY2D	600179	gene	3000	GUCY2D	ENSG00000132518	chr17	Cone-rod dystrophy 6, 601777 (3)	MGI:105123
100	GUCY2D	600179	gene	3000	GUCY2D	ENSG00000132518	chr17	Leber congenital amaurosis 1, 204000 (3)	MGI:105123
101	GUCY2D	600179	gene	3000	GUCY2D	ENSG00000132518	chr17	Night blindness, congenital stationary, type 1I, 618555 (3)	MGI:105123
95	GUCY2D	204000	phenotype						
96	GUCY2D	215500	phenotype						
97	GUCY2D	300071	phenotype						
102	GUCY2D	601777	phenotype						
103	GUCY2D	618555	phenotype						
83	GUCY2F	300041	gene	2986	GUCY2F	ENSG00000101890	chrX		MGI:105119
54	GUK1	139270	gene	2987	GUK1	ENSG00000143774	chr1		MGI:95871
65	HAGH	138760	gene	3029	HAGH	ENSG00000063854	chr16	[Glyoxalase II deficiency], 614033 (1)	MGI:95745
137	HK1	142600	gene	3098	HK1	ENSG00000156515	chr10	Hemolytic anemia due to hexokinase deficiency, 235700 (3)	MGI:96103
138	HK1	142600	gene	3098	HK1	ENSG00000156515	chr10	Neurodevelopmental disorder with visual defects and brain anomalies, 618547 (3)	MGI:96103
139	HK1	142600	gene	3098	HK1	ENSG00000156515	chr10	Neuropathy, hereditary motor and sensory, Russe type, 605285 (3)	MGI:96103
140	HK1	142600	gene	3098	HK1	ENSG00000156515	chr10	Retinitis pigmentosa 79, 617460 (3)	MGI:96103
141	HK1	235700	phenotype						
142	HK1	605285	phenotype						
143	HK1	617460	phenotype						
144	HK1	618547	phenotype						
145	HK2	601125	gene	3099	HK2	ENSG00000159399	chr2		MGI:1315197
148	HK3	142570	gene	3101	HK3	ENSG00000160883	chr5		MGI:2670962
146	HKDC1	617221	gene	80201	HKDC1	ENSG00000156510	chr10	Retinitis pigmentosa 92, 619614 (3)	MGI:2384910
147	HKDC1	619614	phenotype						
150	HMBS	609806	gene	3145	HMBS	ENSG00000256269	chr11	Porphyria, acute intermittent, 176000 (3)	MGI:96112
151	HMBS	609806	gene	3145	HMBS	ENSG00000256269	chr11	Porphyria, acute intermittent, nonerythroid variant, 176000 (3)	MGI:96112
149	HMBS	176000	phenotype						
152	HMOX1	141250	gene	3162	HMOX1	ENSG00000100292	chr22	Heme oxygenase-1 deficiency, 614034 (3)	MGI:96163
153	HMOX1	141250	gene	3162	HMOX1	ENSG00000100292	chr22	{Pulmonary disease, chronic obstructive, susceptibility to}, 606963 (3)	MGI:96163
154	HMOX1	614034	phenotype						
155	HMOX2	141251	gene	3163	HMOX2	ENSG00000103415	chr16		MGI:109373
106	HPRT1	308000	gene	3251	HPRT1	ENSG00000165704	chrX	Hyperuricemia, HRPT-related, 300323 (3)	MGI:96217
107	HPRT1	308000	gene	3251	HPRT1	ENSG00000165704	chrX	Lesch-Nyhan syndrome, 300322 (3)	MGI:96217
104	HPRT1	300322	phenotype						
105	HPRT1	300323	phenotype						
157	IDH1	147700	gene	3417	IDH1	ENSG00000138413	chr2	{Glioma, susceptibility to, somatic}, 137800 (3)	MGI:96413
156	IDH1	137800	phenotype						
191	IMPA1	602064	gene	3612	IMPA1	ENSG00000133731	chr8	Intellectual developmental disorder, autosomal recessive 59, 617323 (3)	MGI:1933158
192	IMPA1	617323	phenotype						
158	IMPDH1	146690	gene	3614	IMPDH1	ENSG00000106348	chr7	Leber congenital amaurosis 11, 613837 (3)	MGI:96567
159	IMPDH1	146690	gene	3614	IMPDH1	ENSG00000106348	chr7	Retinitis pigmentosa 10, 180105 (3)	MGI:96567
160	IMPDH1	180105	phenotype						
161	IMPDH1	613837	phenotype						
162	IMPDH2	146691	gene	3615	IMPDH2	ENSG00000178035	chr3	[IMPDH2 enzyme activity, variation in], 617995 (3)	MGI:109367;MGI:3705743
163	IMPDH2	617995	phenotype						
187	INPP5D	601582	gene	3635	INPP5D	ENSG00000168918	chr2		MGI:107357
193	ISYNA1	611670	gene	51477	ISYNA1	ENSG00000105655	chr19		MGI:1919030
189	ITPKA	147521	gene	3706	ITPKA	ENSG00000137825	chr15		MGI:1333822
190	ITPKB	147522	gene	3707	ITPKB	ENSG00000143772	chr1		MGI:109235
188	ITPKC	606476	gene	80271	ITPKC	ENSG00000086544	chr19		MGI:2442554
167	LDHA	150000	gene	3939	LDHA	ENSG00000134333	chr11	Glycogen storage disease XI, 612933 (3)	MGI:96759
168	LDHA	612933	phenotype						
165	LDHB	150100	gene	3945	LDHB	ENSG00000111716	chr12	[Lactate dehydrogenase-B deficiency], 614128 (3)	MGI:96763
166	LDHB	614128	phenotype						
324	LGALS13	608717	gene	29124	LGALS13	ENSG00000105198	chr19		
173	LTA4H	151570	gene	4048	LTA4H	ENSG00000111144	chr12		MGI:96836
180	MAT1A	610550	gene	4143	MAT1A	ENSG00000151224	chr10	Hypermethioninemia, persistent, autosomal dominant, due to methionine adenosyltransferase I/III deficiency, 250850 (3)	MGI:88017
181	MAT1A	610550	gene	4143	MAT1A	ENSG00000151224	chr10	Methionine adenosyltransferase deficiency, autosomal recessive, 250850 (3)	MGI:88017
179	MAT1A	250850	phenotype						
536	MAT2A	601468	gene	4144	MAT2A	ENSG00000168906	chr2		MGI:2443731
535	MAT2B	605527	gene	27430	MAT2B	ENSG00000038274	chr5		MGI:1913667
176	MDH1	154200	gene	4190	MDH1	ENSG00000014641	chr2	?Developmental and epileptic encephalopathy 88, 618959 (3)	MGI:97051
177	MDH1	618959	phenotype						
178	ME1	154250	gene	4199	ME1	ENSG00000065833	chr6		MGI:97043
174	MPI	154550	gene	4351	MPI	ENSG00000178802	chr15	Congenital disorder of glycosylation, type Ib, 602579 (3)	MGI:97075
175	MPI	602579	phenotype						
195	MTAP	156540	gene	4507	MTAP	ENSG00000099810	chr9	Diaphyseal medullary stenosis with malignant fibrous histiocytoma, 112250 (3)	MGI:1914152
194	MTAP	112250	phenotype						
196	NADK	611616	gene	65220	NADK	ENSG00000008130	chr1		MGI:2183149
197	NADSYN1	608285	gene	55191	NADSYN1	ENSG00000172890	chr11	Vertebral, cardiac, renal, and limb defects syndrome 3, 618845 (3)	MGI:1926164
198	NADSYN1	618845	phenotype						
338	NAGK	606828	gene	55577	NAGK	ENSG00000124357	chr2		MGI:1860418
341	NANP	610763	gene	140838	NANP	ENSG00000170191	chr20		MGI:1914561
339	NANS	605202	gene	54187	NANS	ENSG00000095380	chr9	Spondyloepimetaphyseal dysplasia, Camera-Genevieve type, 610442 (3)	MGI:2149820
340	NANS	610442	phenotype						
533	NME1	156490	gene	4830	NME1	ENSG00000239672	chr17		MGI:97355
534	NME2	156491	gene	4831	NME2	ENSG00000243678	chr17		MGI:97356
204	NME3	601817	gene	4832	NME3	ENSG00000103024	chr16		MGI:1930182
202	NME6	608294	gene	10201	NME6	ENSG00000172113	chr3		MGI:1861676
203	NME7	613465	gene	29922	NME7	ENSG00000143156	chr1		MGI:2449121
210	NMNAT3	608702	gene	349565	NMNAT3	ENSG00000163864	chr3		MGI:1921330
0	NMRK1	608704	gene	54981	NMRK1	ENSG00000106733	chr9		MGI:2147434
84	NPR1	108960	gene	4881	NPR1	ENSG00000169418	chr1		MGI:97371
89	NPR2	108961	gene	4882	NPR2	ENSG00000159899	chr9	Acromesomelic dysplasia 1, Maroteaux type, 602875 (3)	MGI:97372
90	NPR2	108961	gene	4882	NPR2	ENSG00000159899	chr9	Epiphyseal chondrodysplasia, Miura type, 615923 (3)	MGI:97372
91	NPR2	108961	gene	4882	NPR2	ENSG00000159899	chr9	Short stature with nonspecific skeletal abnormalities, 616255 (3)	MGI:97372
92	NPR2	602875	phenotype						
93	NPR2	615923	phenotype						
94	NPR2	616255	phenotype						
216	NT5C	191720	gene	30833	NT5C	ENSG00000125458	chr17		MGI:1354954
212	NT5C2	600417	gene	22978	NT5C2	ENSG00000076685	chr10	Spastic paraplegia 45, autosomal recessive, 613162 (3)	MGI:2178563
213	NT5C2	613162	phenotype						
215	NT5C3A	606224	gene	51251	NT5C3A	ENSG00000122643	chr7	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)	MGI:1927186
214	NT5C3A	266120	phenotype						
397	NUDT2	602852	gene	318	NUDT2	ENSG00000164978	chr9	Intellectual developmental disorder with or without peripheral neuropathy, 619844 (3)	MGI:1913651
398	NUDT2	619844	phenotype						
221	ODC1	165640	gene	4953	ODC1	ENSG00000115758	chr2	Bachmann-Bupp syndrome, 619075 (3)	MGI:97402
222	ODC1	619075	phenotype						
220	OPLAH	614243	gene	26873	OPLAH	ENSG00000178814	chr8	5-oxoprolinase deficiency, 260005 (3)	MGI:1922725
219	OPLAH	260005	phenotype						
438	PCYT1A	123695	gene	5130	PCYT1A	ENSG00000161217	chr3	Spondylometaphyseal dysplasia with cone-rod dystrophy, 608940 (3)	MGI:88557
439	PCYT1A	608940	phenotype						
440	PCYT1B	300948	gene	9468	PCYT1B	ENSG00000102230	chrX		MGI:2147987
249	PCYT2	602679	gene	5833	PCYT2	ENSG00000185813	chr17	Spastic paraplegia 82, autosomal recessive, 618770 (3)	MGI:1915921
250	PCYT2	618770	phenotype						
325	PDE10A	610652	gene	10846	PDE10A	ENSG00000112541	chr6	Dyskinesia, limb and orofacial, infantile-onset, 616921 (3)	MGI:1345143
326	PDE10A	610652	gene	10846	PDE10A	ENSG00000112541	chr6	Striatal degeneration, autosomal dominant, 616922 (3)	MGI:1345143
327	PDE10A	616921	phenotype						
328	PDE10A	616922	phenotype						
226	PDE11A	604961	gene	50940	PDE11A	ENSG00000128655	chr2	Pigmented nodular adrenocortical disease, primary, 2, 610475 (3)	MGI:3036251
227	PDE11A	610475	phenotype						
223	PDE1A	171890	gene	5136	PDE1A	ENSG00000115252	chr2		MGI:1201792
234	PDE1B	171891	gene	5153	PDE1B	ENSG00000123360	chr12		MGI:97523
236	PDE1C	602987	gene	5137	PDE1C	ENSG00000154678	chr7	?Deafness, autosomal dominant 74, 618140 (3)	MGI:108413
237	PDE1C	618140	phenotype						
