	node_id	node_alias	node_source	node_type	alias_type
95	O60331	O60331	uniprot	gene/protein	identifier
96	Q8TBX8	Q8TBX8	uniprot	gene/protein	identifier
97	Q99755	Q99755	uniprot	gene/protein	identifier
98	P78356	P78356	uniprot	gene/protein	identifier
99	Q9BTU6	Q9BTU6	uniprot	gene/protein	identifier
100	P42356	P42356	uniprot	gene/protein	identifier
101	O15305	O15305	uniprot	gene/protein	identifier
102	Q9H2U2	Q9H2U2	uniprot	gene/protein	identifier
103	P13716	P13716	uniprot	gene/protein	identifier
104	P36871	P36871	uniprot	gene/protein	identifier
105	P60891	P60891	uniprot	gene/protein	identifier
106	P21108	P21108	uniprot	gene/protein	identifier
107	O00764	O00764	uniprot	gene/protein	identifier
108	P30613	P30613	uniprot	gene/protein	identifier
109	P14618	P14618	uniprot	gene/protein	identifier
110	Q969G6	Q969G6	uniprot	gene/protein	identifier
111	Q96G03	Q96G03	uniprot	gene/protein	identifier
112	Q9UNQ0	Q9UNQ0	uniprot	gene/protein	identifier
113	Q9UJ70	Q9UJ70	uniprot	gene/protein	identifier
114	Q9NR45	Q9NR45	uniprot	gene/protein	identifier
115	Q8TBE9	Q8TBE9	uniprot	gene/protein	identifier
116	P24666	P24666	uniprot	gene/protein	identifier
117	P00813	P00813	uniprot	gene/protein	identifier
118	P00568	P00568	uniprot	gene/protein	identifier
119	Q08462	Q08462	uniprot	gene/protein	identifier
120	P55263	P55263	uniprot	gene/protein	identifier
121	Q99808	Q99808	uniprot	gene/protein	identifier
122	P07741	P07741	uniprot	gene/protein	identifier
123	Q9Y303	Q9Y303	uniprot	gene/protein	identifier
124	Q9NRZ5	Q9NRZ5	uniprot	gene/protein	identifier
125	Q99943	Q99943	uniprot	gene/protein	identifier
126	Q9NRZ7	Q9NRZ7	uniprot	gene/protein	identifier
127	P23526	P23526	uniprot	gene/protein	identifier
128	P30825	P30825	uniprot	gene/protein	identifier
129	P30838	P30838	uniprot	gene/protein	identifier
130	P49189	P49189	uniprot	gene/protein	identifier
131	P00352	P00352	uniprot	gene/protein	identifier
132	Q01432	Q01432	uniprot	gene/protein	identifier
133	P50583	P50583	uniprot	gene/protein	identifier
134	P05089	P05089	uniprot	gene/protein	identifier
135	P53004	P53004	uniprot	gene/protein	identifier
136	P50416	P50416	uniprot	gene/protein	identifier
137	P20020	P20020	uniprot	gene/protein	identifier
138	P23634	P23634	uniprot	gene/protein	identifier
139	O15439	O15439	uniprot	gene/protein	identifier
140	P04040	P04040	uniprot	gene/protein	identifier
141	O14735	O14735	uniprot	gene/protein	identifier
142	Q8TCT1	Q8TCT1	uniprot	gene/protein	identifier
143	P49585	P49585	uniprot	gene/protein	identifier
144	Q9Y5K3	Q9Y5K3	uniprot	gene/protein	identifier
145	Q8N370	Q8N370	uniprot	gene/protein	identifier
146	P30085	P30085	uniprot	gene/protein	identifier
147	P53985	P53985	uniprot	gene/protein	identifier
148	P23743	P23743	uniprot	gene/protein	identifier
149	P11166	P11166	uniprot	gene/protein	identifier
150	P21964	P21964	uniprot	gene/protein	identifier
151	P07738	P07738	uniprot	gene/protein	identifier
152	P06733	P06733	uniprot	gene/protein	identifier
153	P33121	P33121	uniprot	gene/protein	identifier
154	P04075	P04075	uniprot	gene/protein	identifier
155	P09972	P09972	uniprot	gene/protein	identifier
156	Q8NFF5	Q8NFF5	uniprot	gene/protein	identifier
157	P22732	P22732	uniprot	gene/protein	identifier
158	P11168	P11168	uniprot	gene/protein	identifier
159	P07954	P07954	uniprot	gene/protein	identifier
160	Q02153	Q02153	uniprot	gene/protein	identifier
161	Q02108	Q02108	uniprot	gene/protein	identifier
162	P15531	P15531	uniprot	gene/protein	identifier
163	P22392	P22392	uniprot	gene/protein	identifier
164	Q9NZL9	Q9NZL9	uniprot	gene/protein	identifier
165	P31153	P31153	uniprot	gene/protein	identifier
166	P05026	P05026	uniprot	gene/protein	identifier
167	P54709	P54709	uniprot	gene/protein	identifier
168	P14415	P14415	uniprot	gene/protein	identifier
169	P05023	P05023	uniprot	gene/protein	identifier
170	P11142	P11142	uniprot	gene/protein	identifier
171	P30043	P30043	uniprot	gene/protein	identifier
172	P69905	P69905	uniprot	gene/protein	identifier
173	P51148	P51148	uniprot	gene/protein	identifier
174	P55072	P55072	uniprot	gene/protein	identifier
175	P53396	P53396	uniprot	gene/protein	identifier
176	P38606	P38606	uniprot	gene/protein	identifier
177	P60953	P60953	uniprot	gene/protein	identifier
178	P00387	P00387	uniprot	gene/protein	identifier
179	P30041	P30041	uniprot	gene/protein	identifier
180	P10644	P10644	uniprot	gene/protein	identifier
181	P61020	P61020	uniprot	gene/protein	identifier
182	P61225	P61225	uniprot	gene/protein	identifier
183	Q9Y230	Q9Y230	uniprot	gene/protein	identifier
184	P22314	P22314	uniprot	gene/protein	identifier
185	P31939	P31939	uniprot	gene/protein	identifier
186	P48729	P48729	uniprot	gene/protein	identifier
187	Q9H479	Q9H479	uniprot	gene/protein	identifier
188	P78417	P78417	uniprot	gene/protein	identifier
189	P68871	P68871	uniprot	gene/protein	identifier
190	O95747	O95747	uniprot	gene/protein	identifier
191	O15067	O15067	uniprot	gene/protein	identifier
192	P17612	P17612	uniprot	gene/protein	identifier
193	O14744	O14744	uniprot	gene/protein	identifier
194	P63000	P63000	uniprot	gene/protein	identifier
195	P21980	P21980	uniprot	gene/protein	identifier
196	Q5T4S7	Q5T4S7	uniprot	gene/protein	identifier
197	Q9NP58	Q9NP58	uniprot	gene/protein	identifier
198	Q9Y315	Q9Y315	uniprot	gene/protein	identifier
199	P10768	P10768	uniprot	gene/protein	identifier
200	P02042	P02042	uniprot	gene/protein	identifier
201	P07900	P07900	uniprot	gene/protein	identifier
202	P01116	P01116	uniprot	gene/protein	identifier
203	P00491	P00491	uniprot	gene/protein	identifier
204	P62937	P62937	uniprot	gene/protein	identifier
205	P61026	P61026	uniprot	gene/protein	identifier
206	P61006	P61006	uniprot	gene/protein	identifier
207	P62834	P62834	uniprot	gene/protein	identifier
208	Q5XPI4	Q5XPI4	uniprot	gene/protein	identifier
209	P63208	P63208	uniprot	gene/protein	identifier
210	P60709	P60709	uniprot	gene/protein	identifier
211	P13798	P13798	uniprot	gene/protein	identifier
212	P29972	P29972	uniprot	gene/protein	identifier
213	P21281	P21281	uniprot	gene/protein	identifier
214	Q86VP6	Q86VP6	uniprot	gene/protein	identifier
215	P16152	P16152	uniprot	gene/protein	identifier
216	P09543	P09543	uniprot	gene/protein	identifier
217	Q13616	Q13616	uniprot	gene/protein	identifier
218	P30046	P30046	uniprot	gene/protein	identifier
219	P50570	P50570	uniprot	gene/protein	identifier
220	Q9NY33	Q9NY33	uniprot	gene/protein	identifier
221	P13639	P13639	uniprot	gene/protein	identifier
222	P16930	P16930	uniprot	gene/protein	identifier
223	Q13630	Q13630	uniprot	gene/protein	identifier
224	P11586	P11586	uniprot	gene/protein	identifier
225	P43034	P43034	uniprot	gene/protein	identifier
226	Q15102	Q15102	uniprot	gene/protein	identifier
227	Q99497	Q99497	uniprot	gene/protein	identifier
228	P12955	P12955	uniprot	gene/protein	identifier
229	P23284	P23284	uniprot	gene/protein	identifier
230	Q9Y265	Q9Y265	uniprot	gene/protein	identifier
231	Q13228	Q13228	uniprot	gene/protein	identifier
232	P00441	P00441	uniprot	gene/protein	identifier
233	Q9BSL1	Q9BSL1	uniprot	gene/protein	identifier
234	P23381	P23381	uniprot	gene/protein	identifier
235	P54577	P54577	uniprot	gene/protein	identifier
236	P35613	P35613	uniprot	gene/protein	identifier
237	O00299	O00299	uniprot	gene/protein	identifier
238	Q53TN4	Q53TN4	uniprot	gene/protein	identifier
239	P14868	P14868	uniprot	gene/protein	identifier
240	P09104	P09104	uniprot	gene/protein	identifier
241	P49327	P49327	uniprot	gene/protein	identifier
242	P35754	P35754	uniprot	gene/protein	identifier
243	P25325	P25325	uniprot	gene/protein	identifier
244	Q6XQN6	Q6XQN6	uniprot	gene/protein	identifier
245	P55786	P55786	uniprot	gene/protein	identifier
246	P46459	P46459	uniprot	gene/protein	identifier
247	P07237	P07237	uniprot	gene/protein	identifier
248	P30153	P30153	uniprot	gene/protein	identifier
249	Q15907	Q15907	uniprot	gene/protein	identifier
250	P61586	P61586	uniprot	gene/protein	identifier
251	P10599	P10599	uniprot	gene/protein	identifier
252	O60488	O60488	uniprot	gene/protein	identifier
253	P30566	P30566	uniprot	gene/protein	identifier
254	Q04656	Q04656	uniprot	gene/protein	identifier
255	Q86X55	Q86X55	uniprot	gene/protein	identifier
256	P17812	P17812	uniprot	gene/protein	identifier
257	Q02790	Q02790	uniprot	gene/protein	identifier
258	Q9HA64	Q9HA64	uniprot	gene/protein	identifier
259	Q6B0K9	Q6B0K9	uniprot	gene/protein	identifier
260	Q7Z6Z7	Q7Z6Z7	uniprot	gene/protein	identifier
261	P28482	P28482	uniprot	gene/protein	identifier
262	P30101	P30101	uniprot	gene/protein	identifier
263	A6NDG6	A6NDG6	uniprot	gene/protein	identifier
264	Q15181	Q15181	uniprot	gene/protein	identifier
265	Q9Y570	Q9Y570	uniprot	gene/protein	identifier
266	P09417	P09417	uniprot	gene/protein	identifier
267	P11233	P11233	uniprot	gene/protein	identifier
268	Q3LXA3	Q3LXA3	uniprot	gene/protein	identifier
269	O43396	O43396	uniprot	gene/protein	identifier
270	Q9C0C9	Q9C0C9	uniprot	gene/protein	identifier
271	Q96IU4	Q96IU4	uniprot	gene/protein	identifier
272	Q9BWD1	Q9BWD1	uniprot	gene/protein	identifier
273	P36543	P36543	uniprot	gene/protein	identifier
274	Q9BRF8	Q9BRF8	uniprot	gene/protein	identifier
275	O43598	O43598	uniprot	gene/protein	identifier
276	Q9Y5P6	Q9Y5P6	uniprot	gene/protein	identifier
277	P69891	P69891	uniprot	gene/protein	identifier
278	P49773	P49773	uniprot	gene/protein	identifier
279	P36507	P36507	uniprot	gene/protein	identifier
280	P46734	P46734	uniprot	gene/protein	identifier
281	P22061	P22061	uniprot	gene/protein	identifier
282	P13667	P13667	uniprot	gene/protein	identifier
283	Q15084	Q15084	uniprot	gene/protein	identifier
284	Q6PCE3	Q6PCE3	uniprot	gene/protein	identifier
285	Q9NRX4	Q9NRX4	uniprot	gene/protein	identifier
286	Q92508	Q92508	uniprot	gene/protein	identifier
287	P67775	P67775	uniprot	gene/protein	identifier
288	P48147	P48147	uniprot	gene/protein	identifier
289	P62826	P62826	uniprot	gene/protein	identifier
290	O75116	O75116	uniprot	gene/protein	identifier
291	Q9NTJ5	Q9NTJ5	uniprot	gene/protein	identifier
292	P26639	P26639	uniprot	gene/protein	identifier
293	P52888	P52888	uniprot	gene/protein	identifier
294	P68036	P68036	uniprot	gene/protein	identifier
295	P49588	P49588	uniprot	gene/protein	identifier
296	O95573	O95573	uniprot	gene/protein	identifier
297	P23919	P23919	uniprot	gene/protein	identifier
298	P21266	P21266	uniprot	gene/protein	identifier
299	P02100	P02100	uniprot	gene/protein	identifier
300	P69892	P69892	uniprot	gene/protein	identifier
301	Q7Z4H3	Q7Z4H3	uniprot	gene/protein	identifier
302	Q92539	Q92539	uniprot	gene/protein	identifier
303	P14174	P14174	uniprot	gene/protein	identifier
304	P01111	P01111	uniprot	gene/protein	identifier
305	P68402	P68402	uniprot	gene/protein	identifier
306	P22234	P22234	uniprot	gene/protein	identifier
307	O15162	O15162	uniprot	gene/protein	identifier
308	Q14738	Q14738	uniprot	gene/protein	identifier
309	Q15257	Q15257	uniprot	gene/protein	identifier
310	Q06124	Q06124	uniprot	gene/protein	identifier
311	Q9NRW1	Q9NRW1	uniprot	gene/protein	identifier
312	Q9Y6M5	Q9Y6M5	uniprot	gene/protein	identifier
313	Q9NP59	Q9NP59	uniprot	gene/protein	identifier
314	P61221	P61221	uniprot	gene/protein	identifier
315	P22303	P22303	uniprot	gene/protein	identifier
316	O00154	O00154	uniprot	gene/protein	identifier
317	P04424	P04424	uniprot	gene/protein	identifier
318	Q9Y5K8	Q9Y5K8	uniprot	gene/protein	identifier
319	O75348	O75348	uniprot	gene/protein	identifier
320	Q96KP4	Q96KP4	uniprot	gene/protein	identifier
321	Q6UWP2	Q6UWP2	uniprot	gene/protein	identifier
322	Q01469	Q01469	uniprot	gene/protein	identifier
323	P14324	P14324	uniprot	gene/protein	identifier
324	P62942	P62942	uniprot	gene/protein	identifier
325	Q04446	Q04446	uniprot	gene/protein	identifier
326	Q96IJ6	Q96IJ6	uniprot	gene/protein	identifier
327	Q9UBQ7	Q9UBQ7	uniprot	gene/protein	identifier
328	P09211	P09211	uniprot	gene/protein	identifier
329	P02008	P02008	uniprot	gene/protein	identifier
330	O43813	O43813	uniprot	gene/protein	identifier
331	P28838	P28838	uniprot	gene/protein	identifier
332	Q9UNW1	Q9UNW1	uniprot	gene/protein	identifier
333	Q86X76	Q86X76	uniprot	gene/protein	identifier
334	P16083	P16083	uniprot	gene/protein	identifier
335	Q9UKK9	Q9UKK9	uniprot	gene/protein	identifier
336	P18669	P18669	uniprot	gene/protein	identifier
337	Q8IY17	Q8IY17	uniprot	gene/protein	identifier
338	Q9HAB8	Q9HAB8	uniprot	gene/protein	identifier
339	P61019	P61019	uniprot	gene/protein	identifier
340	Q8WUD1	Q8WUD1	uniprot	gene/protein	identifier
341	P20339	P20339	uniprot	gene/protein	identifier
342	P42330	P42330	uniprot	gene/protein	identifier
343	P62330	P62330	uniprot	gene/protein	identifier
344	Q93070	Q93070	uniprot	gene/protein	identifier
345	Q13057	Q13057	uniprot	gene/protein	identifier
346	P67870	P67870	uniprot	gene/protein	identifier
347	Q9NRF8	Q9NRF8	uniprot	gene/protein	identifier
348	Q9ULA0	Q9ULA0	uniprot	gene/protein	identifier
349	Q53GQ0	Q53GQ0	uniprot	gene/protein	identifier
350	Q9BV20	Q9BV20	uniprot	gene/protein	identifier
351	P43490	P43490	uniprot	gene/protein	identifier
352	Q01813	Q01813	uniprot	gene/protein	identifier
353	Q9NRQ2	Q9NRQ2	uniprot	gene/protein	identifier
354	Q15185	Q15185	uniprot	gene/protein	identifier
355	Q5T6V5	Q5T6V5	uniprot	gene/protein	identifier
356	P62820	P62820	uniprot	gene/protein	identifier
357	P18577	P18577	uniprot	gene/protein	identifier
358	Q9H8H3	Q9H8H3	uniprot	gene/protein	identifier
359	Q16881	Q16881	uniprot	gene/protein	identifier
360	Q9Y277	Q9Y277	uniprot	gene/protein	identifier
361	Q9H4A3	Q9H4A3	uniprot	gene/protein	identifier
362	P33527	P33527	uniprot	gene/protein	identifier
363	O15440	O15440	uniprot	gene/protein	identifier
364	P21399	P21399	uniprot	gene/protein	identifier
365	Q9UKU0	Q9UKU0	uniprot	gene/protein	identifier
366	P63261	P63261	uniprot	gene/protein	identifier
367	P11766	P11766	uniprot	gene/protein	identifier
368	Q9NX46	Q9NX46	uniprot	gene/protein	identifier
369	Q8NB49	Q8NB49	uniprot	gene/protein	identifier
370	Q9UI12	Q9UI12	uniprot	gene/protein	identifier
371	P27708	P27708	uniprot	gene/protein	identifier
372	P49589	P49589	uniprot	gene/protein	identifier
373	Q9Y285	Q9Y285	uniprot	gene/protein	identifier
374	P02794	P02794	uniprot	gene/protein	identifier
375	P02792	P02792	uniprot	gene/protein	identifier
376	P30711	P30711	uniprot	gene/protein	identifier
377	Q9P035	Q9P035	uniprot	gene/protein	identifier
378	O15554	O15554	uniprot	gene/protein	identifier
379	Q9H008	Q9H008	uniprot	gene/protein	identifier
380	Q6P1A2	Q6P1A2	uniprot	gene/protein	identifier
381	P53602	P53602	uniprot	gene/protein	identifier
382	Q13177	Q13177	uniprot	gene/protein	identifier
383	P30154	P30154	uniprot	gene/protein	identifier
384	P30044	P30044	uniprot	gene/protein	identifier
385	P62877	P62877	uniprot	gene/protein	identifier
386	Q8TC12	Q8TC12	uniprot	gene/protein	identifier
387	Q9NV96	Q9NV96	uniprot	gene/protein	identifier
388	Q9BRA2	Q9BRA2	uniprot	gene/protein	identifier
389	Q9UN37	Q9UN37	uniprot	gene/protein	identifier
390	O95870	O95870	uniprot	gene/protein	identifier
391	P07311	P07311	uniprot	gene/protein	identifier
392	Q93050	Q93050	uniprot	gene/protein	identifier
393	O95861	O95861	uniprot	gene/protein	identifier
394	P00167	P00167	uniprot	gene/protein	identifier
395	P07099	P07099	uniprot	gene/protein	identifier
396	P07814	P07814	uniprot	gene/protein	identifier
397	Q9NSD9	Q9NSD9	uniprot	gene/protein	identifier
398	Q8N0W3	Q8N0W3	uniprot	gene/protein	identifier
399	O60547	O60547	uniprot	gene/protein	identifier
400	Q9NQX3	Q9NQX3	uniprot	gene/protein	identifier
401	Q02750	Q02750	uniprot	gene/protein	identifier
402	Q68D91	Q68D91	uniprot	gene/protein	identifier
403	Q6PIU2	Q6PIU2	uniprot	gene/protein	identifier
404	Q13162	Q13162	uniprot	gene/protein	identifier
405	P11908	P11908	uniprot	gene/protein	identifier
406	Q53H96	Q53H96	uniprot	gene/protein	identifier
407	P51812	P51812	uniprot	gene/protein	identifier
408	P49591	P49591	uniprot	gene/protein	identifier
409	P34896	P34896	uniprot	gene/protein	identifier
410	Q9UHW9	Q9UHW9	uniprot	gene/protein	identifier
411	Q8TDB8	Q8TDB8	uniprot	gene/protein	identifier
412	Q8NBI5	Q8NBI5	uniprot	gene/protein	identifier
413	Q9NQW7	Q9NQW7	uniprot	gene/protein	identifier
414	P68400	P68400	uniprot	gene/protein	identifier
415	P19784	P19784	uniprot	gene/protein	identifier
416	O43169	O43169	uniprot	gene/protein	identifier
417	Q9NTX5	Q9NTX5	uniprot	gene/protein	identifier
418	P26885	P26885	uniprot	gene/protein	identifier
419	P22102	P22102	uniprot	gene/protein	identifier
420	Q9P2T1	Q9P2T1	uniprot	gene/protein	identifier
421	P13807	P13807	uniprot	gene/protein	identifier
422	P12081	P12081	uniprot	gene/protein	identifier
423	Q8N4P3	Q8N4P3	uniprot	gene/protein	identifier
424	Q9BY32	Q9BY32	uniprot	gene/protein	identifier
425	Q9NTJ4	Q9NTJ4	uniprot	gene/protein	identifier
426	Q6ZWT7	Q6ZWT7	uniprot	gene/protein	identifier
427	Q9NQR4	Q9NQR4	uniprot	gene/protein	identifier
428	Q9H0N5	Q9H0N5	uniprot	gene/protein	identifier
429	Q96CD2	Q96CD2	uniprot	gene/protein	identifier
430	P62140	P62140	uniprot	gene/protein	identifier
431	Q9BYN0	Q9BYN0	uniprot	gene/protein	identifier
432	P02787	P02787	uniprot	gene/protein	identifier
433	P02786	P02786	uniprot	gene/protein	identifier
434	A0AVT1	A0AVT1	uniprot	gene/protein	identifier
435	Q8IZY2	Q8IZY2	uniprot	gene/protein	identifier
436	Q9NZC3	Q9NZC3	uniprot	gene/protein	identifier
437	Q15046	Q15046	uniprot	gene/protein	identifier
438	P07948	P07948	uniprot	gene/protein	identifier
439	A6NFX1	A6NFX1	uniprot	gene/protein	identifier
440	Q8NCW5	Q8NCW5	uniprot	gene/protein	identifier
441	Q9BXD5	Q9BXD5	uniprot	gene/protein	identifier
442	P62136	P62136	uniprot	gene/protein	identifier
443	P62714	P62714	uniprot	gene/protein	identifier
444	P22694	P22694	uniprot	gene/protein	identifier
445	Q86TP1	Q86TP1	uniprot	gene/protein	identifier
446	Q9Y617	Q9Y617	uniprot	gene/protein	identifier
447	P54136	P54136	uniprot	gene/protein	identifier
448	Q00325	Q00325	uniprot	gene/protein	identifier
449	Q8IWA5	Q8IWA5	uniprot	gene/protein	identifier
450	P26640	P26640	uniprot	gene/protein	identifier
451	P21796	P21796	uniprot	gene/protein	identifier
452	Q9BRR6	Q9BRR6	uniprot	gene/protein	identifier
453	Q9H993	Q9H993	uniprot	gene/protein	identifier
454	Q9Y2G3	Q9Y2G3	uniprot	gene/protein	identifier
455	Q16864	Q16864	uniprot	gene/protein	identifier
456	O15247	O15247	uniprot	gene/protein	identifier
457	Q9Y696	Q9Y696	uniprot	gene/protein	identifier
458	Q15125	Q15125	uniprot	gene/protein	identifier
459	P49840	P49840	uniprot	gene/protein	identifier
460	P46976	P46976	uniprot	gene/protein	identifier
461	Q9P2J5	Q9P2J5	uniprot	gene/protein	identifier
462	Q5VWZ2	Q5VWZ2	uniprot	gene/protein	identifier
463	O43776	O43776	uniprot	gene/protein	identifier
464	Q9BZ23	Q9BZ23	uniprot	gene/protein	identifier
465	Q86T03	Q86T03	uniprot	gene/protein	identifier
466	Q15173	Q15173	uniprot	gene/protein	identifier
467	Q08623	Q08623	uniprot	gene/protein	identifier
468	Q02161	Q02161	uniprot	gene/protein	identifier
469	Q9UHJ6	Q9UHJ6	uniprot	gene/protein	identifier
470	Q15758	Q15758	uniprot	gene/protein	identifier
471	P05141	P05141	uniprot	gene/protein	identifier
472	Q8WWI5	Q8WWI5	uniprot	gene/protein	identifier
473	P43405	P43405	uniprot	gene/protein	identifier
474	Q08188	Q08188	uniprot	gene/protein	identifier
475	P0CG47	P0CG47	uniprot	gene/protein	identifier
476	P45880	P45880	uniprot	gene/protein	identifier
477	Q9NRN7	Q9NRN7	uniprot	gene/protein	identifier
478	P43353	P43353	uniprot	gene/protein	identifier
479	Q92482	Q92482	uniprot	gene/protein	identifier
480	Q15904	Q15904	uniprot	gene/protein	identifier
481	P35670	P35670	uniprot	gene/protein	identifier
482	P16671	P16671	uniprot	gene/protein	identifier
483	P28907	P28907	uniprot	gene/protein	identifier
484	P51790	P51790	uniprot	gene/protein	identifier
485	Q9Y6M4	Q9Y6M4	uniprot	gene/protein	identifier
486	P00505	P00505	uniprot	gene/protein	identifier
487	P28161	P28161	uniprot	gene/protein	identifier
488	O75608	O75608	uniprot	gene/protein	identifier
489	O95372	O95372	uniprot	gene/protein	identifier
490	Q99735	Q99735	uniprot	gene/protein	identifier
491	Q8IW45	Q8IW45	uniprot	gene/protein	identifier
492	Q9NZJ9	Q9NZJ9	uniprot	gene/protein	identifier
493	Q9Y530	Q9Y530	uniprot	gene/protein	identifier
494	O15294	O15294	uniprot	gene/protein	identifier
495	Q13393	Q13393	uniprot	gene/protein	identifier
496	P36873	P36873	uniprot	gene/protein	identifier
497	Q13131	Q13131	uniprot	gene/protein	identifier
498	Q8IXJ6	Q8IXJ6	uniprot	gene/protein	identifier
499	P41440	P41440	uniprot	gene/protein	identifier
500	O15431	O15431	uniprot	gene/protein	identifier
501	Q92485	Q92485	uniprot	gene/protein	identifier
502	Q658P3	Q658P3	uniprot	gene/protein	identifier
503	Q15831	Q15831	uniprot	gene/protein	identifier
504	Q9C0B5	Q9C0B5	uniprot	gene/protein	identifier
505	P35573	P35573	uniprot	gene/protein	identifier
506	P01019	P01019	uniprot	gene/protein	identifier
507	Q96GX9	Q96GX9	uniprot	gene/protein	identifier
508	Q9HCP0	Q9HCP0	uniprot	gene/protein	identifier
509	Q8NCG7	Q8NCG7	uniprot	gene/protein	identifier
