Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS	2371	268571
A4D126	ISPD_HUMAN	ISPD	D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD)	CRPPA	451	49873
A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	WDR91	747	83344
A4FU01	MTMRB_HUMAN	MTMRB	Myotubularin-related protein 11 (Cisplatin resistance-associated protein) (hCRA) (Inactive phosphatidylinositol 3-phosphatase 11)	MTMR11	709	79545
A5D8V6	VP37C_HUMAN	VP37C	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	VPS37C	355	38659
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP)	PGP	321	34006
A6NDU8	RIMC1_HUMAN	RIMC1	RAB7A-interacting MON1-CCZ1 complex subunit 1 (UPF0600 protein C5orf51)	RIMOC1	294	33620
A6NGG8	PCARE_HUMAN	PCARE	Photoreceptor cilium actin regulator	PCARE	1288	139655
A6NHX0	CAST2_HUMAN	CAST2	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	CASTOR2	329	36056
B2RUZ4	SMIM1_HUMAN	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)	SMIM1	78	8749
E9PAV3	NACAM_HUMAN	NACAM	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)"	NACA	2078	205422
O00154	BACH_HUMAN	BACH	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7	380	41796
O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	MYO1C	1063	121682
O00161	SNP23_HUMAN	SNP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	211	23354
O00178	GTPB1_HUMAN	GTPB1	GTP-binding protein 1 (G-protein 1) (GP-1) (GP1)	GTPBP1	669	72454
O00182	LEG9_HUMAN	LEG9	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	355	39518
O00186	STXB3_HUMAN	STXB3	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)	STXBP3	592	67764
O00187	MASP2_HUMAN	MASP2	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	MASP2	686	75702
O00231	PSD11_HUMAN	PSD11	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	422	47464
O00232	PSD12_HUMAN	PSD12	26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55)	PSMD12	456	52904
O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27)	PSMD9	223	24682
O00267	SPT5H_HUMAN	SPT5H	Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)	SUPT5H	1087	121000
O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1 (Chloride channel ABP) (Glutaredoxin-like oxidoreductase CLIC1) (EC 1.8.-.-) (Glutathione-dependent dehydroascorbate reductase CLIC1) (EC 1.8.5.1) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)	CLIC1	241	26923
O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47)	EIF3F	357	37564
O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	QSOX1	747	82578
O00399	DCTN6_HUMAN	DCTN6	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6	190	20747
O00410	IPO5_HUMAN	IPO5	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5	1097	123630
O00421	CCRL2_HUMAN	CCRL2	C-C chemokine receptor-like 2 (Chemokine receptor CCR11) (Chemokine receptor X) (Putative MCP-1 chemokine receptor)	CCRL2	344	39513
O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L	736	81877
O00442	RTCA_HUMAN	RTCA	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1)	RTCA	366	39337
O00487	PSDE_HUMAN	PSDE	26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	PSMD14	310	34577
O00505	IMA4_HUMAN	IMA4	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	KPNA3	521	57811
O00571	DDX3X_HUMAN	DDX3X	"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)"	DDX3X	662	73243
O00629	IMA3_HUMAN	IMA3	Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4)	KPNA4	521	57887
O00743	PPP6_HUMAN	PPP6	"Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]"	PPP6C	305	35144
O00764	PDXK_HUMAN	PDXK	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	PDXK	312	35102
O14523	C2C2L_HUMAN	C2C2L	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (C2CD2-like) (Transmembrane protein 24)	C2CD2L	706	76181
O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	UBFD1	309	33382
O14602	IF1AY_HUMAN	IF1AY	"Eukaryotic translation initiation factor 1A, Y-chromosomal (eIF-1A Y isoform) (eIF1A Y isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)"	EIF1AY	144	16442
O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)	CCS	274	29041
O14662	STX16_HUMAN	STX16	Syntaxin-16 (Syn16)	STX16	325	37031
O14735	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11) (Phosphatidylinositol synthase) (PI synthase) (PtdIns synthase)	CDIPT	213	23539
O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19)	PDCD5	125	14285
O14744	ANM5_HUMAN	ANM5	"Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]"	PRMT5	637	72684
O14745	NHRF1_HUMAN	NHRF1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	NHERF1	358	38868
O14787	TNPO2_HUMAN	TNPO2	Transportin-2 (Karyopherin beta-2b)	TNPO2	897	101388
O14791	APOL1_HUMAN	APOL1	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	APOL1	398	43974
O14818	PSA7_HUMAN	PSA7	Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7) (Proteasome subunit alpha-4) (alpha-4)	PSMA7	248	27887
O14880	MGST3_HUMAN	MGST3	"Glutathione S-transferase 3, mitochondrial (GST-3) (EC 2.5.1.-) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20)"	MGST3	152	16516
O14950	ML12B_HUMAN	ML12B	"Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)"	MYL12B	172	19779
O14964	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	HGS	777	86192
O14980	XPO1_HUMAN	XPO1	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	XPO1	1071	123386
O15067	PUR4_HUMAN	PUR4	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	PFAS	1338	144734
O15084	ANR28_HUMAN	ANR28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK)	ANKRD28	1053	112966
O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	LSM1	133	15179
O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	1278	142167
O15127	SCAM2_HUMAN	SCAM2	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	SCAMP2	329	36649
O15143	ARC1B_HUMAN	ARC1B	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	ARPC1B	372	40950
O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2	300	34333
O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)	ARPC3	178	20547
O15162	PLS1_HUMAN	PLS1	Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (Mg(2+)-dependent nuclease) (EC 3.1.-.-) (MmTRA1b)	PLSCR1	318	35049
O15173	PGRC2_HUMAN	PGRC2	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2	223	23818
O15212	PFD6_HUMAN	PFD6	Prefoldin subunit 6 (Protein Ke2)	PFDN6	129	14583
O15247	CLIC2_HUMAN	CLIC2	Chloride intracellular channel protein 2 (Glutaredoxin-like oxidoreductase CLIC2) (EC 1.8.-.-) (Glutaredoxin-like peroxidase CLIC2) (EC 1.11.1.-) (XAP121)	CLIC2	247	28356
O15294	OGT1_HUMAN	OGT1	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	1046	116925
O15305	PMM2_HUMAN	PMM2	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	PMM2	246	28082
O15400	STX7_HUMAN	STX7	Syntaxin-7	STX7	261	29816
O15439	MRP4_HUMAN	MRP4	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	ABCC4	1325	149527
O15440	MRP5_HUMAN	MRP5	ATP-binding cassette sub-family C member 5 (EC 7.6.2.-) (EC 7.6.2.2) (Multi-specific organic anion transporter C) (MOAT-C) (Multidrug resistance-associated protein 5) (SMRP) (pABC11)	ABCC5	1437	160660
O15484	CAN5_HUMAN	CAN5	Calpain-5 (EC 3.4.22.-) (Calpain htra-3) (New calpain 3) (nCL-3)	CAPN5	640	73169
O15498	YKT6_HUMAN	YKT6	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	YKT6	198	22418
O15554	KCNN4_HUMAN	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4 (SKCa 4) (SKCa4) (hSK4) (Gardos channel) (IKCa1) (hIK1) (KCa3.1) (Putative Gardos channel) (hKCa4)	KCNN4	427	47696
O43143	DHX15_HUMAN	DHX15	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43)	DHX15	795	90933
O43149	ZZEF1_HUMAN	ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1	2961	331075
O43242	PSMD3_HUMAN	PSMD3	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	534	60978
O43264	ZW10_HUMAN	ZW10	Centromere/kinetochore protein zw10 homolog	ZW10	779	88829
O43314	VIP2_HUMAN	VIP2	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (hsVIP2)	PPIP5K2	1243	140407
O43396	TXNL1_HUMAN	TXNL1	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	TXNL1	289	32251
O43399	TPD54_HUMAN	TPD54	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2	206	22238
O43427	FIBP_HUMAN	FIBP	Acidic fibroblast growth factor intracellular-binding protein (aFGF intracellular-binding protein) (FGF-1 intracellular-binding protein)	FIBP	364	41878
O43447	PPIH_HUMAN	PPIH	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	PPIH	177	19208
O43488	ARK72_HUMAN	ARK72	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2	359	39589
O43491	E41L2_HUMAN	E41L2	Band 4.1-like protein 2 (Erythrocyte membrane protein band 4.1-like 2) (Generally expressed protein 4.1) (4.1G)	EPB41L2	1005	112588
O43583	DENR_HUMAN	DENR	Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3)	DENR	198	22092
O43598	DNPH1_HUMAN	DNPH1	5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)	DNPH1	174	19108
O43633	CHM2A_HUMAN	CHM2A	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A	222	25104
O43665	RGS10_HUMAN	RGS10	Regulator of G-protein signaling 10 (RGS10)	RGS10	181	21210
O43681	GET3_HUMAN	GET3	"ATPase GET3 (EC 3.6.4.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)"	GET3	348	38793
O43707	ACTN4_HUMAN	ACTN4	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	911	104854
O43708	MAAI_HUMAN	MAAI	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)	GSTZ1	216	24212
O43760	SNG2_HUMAN	SNG2	Synaptogyrin-2 (Cellugyrin)	SYNGR2	224	24810
O43765	SGTA_HUMAN	SGTA	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA	313	34063
O43768	ENSA_HUMAN	ENSA	Alpha-endosulfine (ARPP-19e)	ENSA	121	13389
O43776	SYNC_HUMAN	SYNC	"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)"	NARS1	548	62943
O43790	KRT86_HUMAN	KRT86	"Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)"	KRT86	486	53501
O43805	SSNA1_HUMAN	SSNA1	Microtubule nucleation factor SSNA1 (Nuclear autoantigen of 14 kDa) (Sjoegren syndrome nuclear autoantigen 1)	SSNA1	119	13596
O43813	LANC1_HUMAN	LANC1	Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)	LANCL1	399	45283
O43847	NRDC_HUMAN	NRDC	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	NRDC	1151	131701
O60234	GMFG_HUMAN	GMFG	Glia maturation factor gamma (GMF-gamma)	GMFG	142	16801
O60256	KPRB_HUMAN	KPRB	Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)	PRPSAP2	369	40926
O60271	JIP4_HUMAN	JIP4	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	SPAG9	1321	146205
O60361	NDK8_HUMAN	NDK8	Putative nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	NME2P1	137	15529
O60488	ACSL4_HUMAN	ACSL4	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4)	ACSL4	711	79188
O60493	SNX3_HUMAN	SNX3	Sorting nexin-3 (Protein SDP3)	SNX3	162	18762
O60506	HNRPQ_HUMAN	HNRPQ	"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)"	SYNCRIP	623	69603
O60547	GMDS_HUMAN	GMDS	"GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)"	GMDS	372	41950
O60610	DIAP1_HUMAN	DIAP1	Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1)	DIAPH1	1272	141347
O60664	PLIN3_HUMAN	PLIN3	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17)	PLIN3	434	47075
O60684	IMA7_HUMAN	IMA7	Importin subunit alpha-7 (Karyopherin subunit alpha-6)	KPNA6	536	60030
O60749	SNX2_HUMAN	SNX2	Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9)	SNX2	519	58471
O60763	USO1_HUMAN	USO1	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1	962	107895
O60831	PRAF2_HUMAN	PRAF2	PRA1 family protein 2	PRAF2	178	19258
O60884	DNJA2_HUMAN	DNJA2	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	DNAJA2	412	45746
O60925	PFD1_HUMAN	PFD1	Prefoldin subunit 1	PFDN1	122	14210
O60927	PP1RB_HUMAN	PP1RB	E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Hemochromatosis candidate gene V protein) (HCG V) (Protein phosphatase 1 regulatory subunit 11) (Protein phosphatase inhibitor 3)	PPP1R11	126	13953
O75015	FCG3B_HUMAN	FCG3B	Low affinity immunoglobulin gamma Fc region receptor III-B (Fc-gamma RIII-beta) (CD16-I) (Fc-gamma RIII) (Fc-gamma RIIIb) (FcRIII) (FcRIIIb) (FcR-10) (IgG Fc receptor III-1) (CD antigen CD16b)	FCGR3B	233	26243
O75069	TMCC2_HUMAN	TMCC2	Transmembrane and coiled-coil domains protein 2 (Cerebral protein 11)	TMCC2	709	77449
O75083	WDR1_HUMAN	WDR1	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1)	WDR1	606	66194
O75116	ROCK2_HUMAN	ROCK2	"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)"	ROCK2	1388	160900
O75131	CPNE3_HUMAN	CPNE3	Copine-3 (Copine III)	CPNE3	537	60131
O75165	DJC13_HUMAN	DJC13	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	DNAJC13	2243	254415
O75170	PP6R2_HUMAN	PP6R2	Serine/threonine-protein phosphatase 6 regulatory subunit 2 (SAPS domain family member 2)	PPP6R2	966	104942
O75191	XYLB_HUMAN	XYLB	Xylulose kinase (Xylulokinase) (EC 2.7.1.17)	XYLB	536	58382
O75223	GGCT_HUMAN	GGCT	Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21)	GGCT	188	21008
O75326	SEM7A_HUMAN	SEM7A	Semaphorin-7A (CDw108) (JMH blood group antigen) (John-Milton-Hargen human blood group Ag) (Semaphorin-K1) (Sema K1) (Semaphorin-L) (Sema L) (CD antigen CD108)	SEMA7A	666	74824
